status,question_index,question_id,question,gold_answers,k,policy,model,answer,em,f1,support_recall,selection_support_recall_before_budget,target_hit,selection_target_hit_before_budget,primary_node,feedback_target_node,selected_node_ids,selected_nodes,fully_delivered_node_ids,fully_delivered_nodes,candidate_universe,reference_context_tokens,provider_input_tokens,provider_output_tokens,api_latency_ms,api_attempts,finish_reason,response_cache_hit,prompt_hash,online_weights_before,online_weights_after,online_updated,online_update_reason
complete,0,5a72a9145542994cef4bc3c1,Which player signed to Bayern Munich before the 2012-2013 season was known mostly as a central defender?,"[""Dante""]",10,adaptive_offline_global,gemini-3.5-flash-lite,Dante,1.0,1.0,0.5,0.5,0.0,0.0,19,1,"[19, 20, 18, 22, 23, 21, 13, 47, 42, 17, 11]",11,"[19, 20, 18, 22, 23, 21, 13, 47]",8,29,469,538,2,706.6070089999812,1,STOP,True,4ce8a17672956cb79058ec2031c969240d7b6e7b2a971fe964a4aa2adc5915c4,,,,
complete,0,5a72a9145542994cef4bc3c1,Which player signed to Bayern Munich before the 2012-2013 season was known mostly as a central defender?,"[""Dante""]",10,adaptive_online_warm,gemini-3.5-flash-lite,Dante,1.0,1.0,0.5,0.5,0.0,0.0,19,1,"[19, 20, 18, 22, 23, 21, 13, 47, 42, 17, 11]",11,"[19, 20, 18, 22, 23, 21, 13, 47]",8,29,469,538,2,706.6070089999812,1,STOP,False,4ce8a17672956cb79058ec2031c969240d7b6e7b2a971fe964a4aa2adc5915c4,"[0.3, 0.7]","[0.3407014540292185, 0.6592985459707815]",1.0,ranking_miss_update
complete,0,5a72a9145542994cef4bc3c1,Which player signed to Bayern Munich before the 2012-2013 season was known mostly as a central defender?,"[""Dante""]",10,cosine,gemini-3.5-flash-lite,Dante,1.0,1.0,0.5,0.5,0.0,0.0,19,1,"[19, 20, 18, 7, 21, 11, 46, 22, 23, 16, 47]",11,"[19, 20, 18, 7, 21, 11, 46, 22, 23, 16, 47]",11,51,469,537,2,517.2588410000571,1,STOP,False,b0851309e0ae090ce2fdd6c6dc36a40bd432e0260a60c3f31fe181a172f36f02,,,,
complete,0,5a72a9145542994cef4bc3c1,Which player signed to Bayern Munich before the 2012-2013 season was known mostly as a central defender?,"[""Dante""]",10,graph_fixed,gemini-3.5-flash-lite,Dante,1.0,1.0,0.5,0.5,0.0,0.0,19,1,"[19, 20, 21, 13, 47, 22, 18, 23, 42, 17, 11]",11,"[19, 20, 21, 13, 47, 22, 18, 23]",8,29,469,538,2,518.55824400036,1,STOP,False,e3fc744471b21673e3886d56ddbabc6d90e4dfee195cf28e8f298619df53e233,,,,
complete,1,5ab9339f554299131ca422bb,The 2009 Fort Hood mass shooting was committed by who?,"[""Nidal Hasan""]",10,adaptive_offline_global,gemini-3.5-flash-lite,Nidal Hasan,1.0,1.0,1.0,1.0,1.0,1.0,11,12,"[11, 12, 13, 28, 6, 7, 36, 38, 8, 9, 30]",11,"[11, 12, 13, 28, 6, 7, 36, 38, 8, 9]",10,26,390,457,3,15974.169557000096,1,STOP,False,229cf9526be9b235ac7f1af188bd4d6601aa08d9b065c3492d9b8e703ee764cb,,,,
complete,1,5ab9339f554299131ca422bb,The 2009 Fort Hood mass shooting was committed by who?,"[""Nidal Hasan""]",10,adaptive_online_warm,gemini-3.5-flash-lite,Nidal Hasan,1.0,1.0,1.0,1.0,1.0,1.0,11,12,"[11, 12, 13, 28, 6, 7, 36, 38, 30, 8, 9]",11,"[11, 12, 13, 28, 6, 7, 36, 38, 30, 8]",10,26,390,457,3,431.67424100010976,1,STOP,False,5d74d35a47e9af372e771b37b05d2735709afef41ea50de8564dc1481c8117f4,"[0.3407014540292185, 0.6592985459707815]","[0.3407014540292185, 0.6592985459707815]",0.0,prediction_hit
complete,1,5ab9339f554299131ca422bb,The 2009 Fort Hood mass shooting was committed by who?,"[""Nidal Hasan""]",10,cosine,gemini-3.5-flash-lite,Nidal Hasan,1.0,1.0,1.0,1.0,1.0,1.0,11,12,"[11, 13, 27, 12, 29, 37, 26, 6, 31, 34, 23]",11,"[11, 13, 27, 12, 29, 37, 26, 6, 31]",9,38,390,453,3,548.2825609997235,1,STOP,False,2067f2b32ae6d9724d1e774a7be5a3e7f9cea204bfa3985adf298fe7e3b48fe6,,,,
complete,1,5ab9339f554299131ca422bb,The 2009 Fort Hood mass shooting was committed by who?,"[""Nidal Hasan""]",10,graph_fixed,gemini-3.5-flash-lite,Nidal Hasan,1.0,1.0,1.0,1.0,1.0,1.0,11,12,"[11, 13, 6, 7, 12, 28, 30, 8, 3, 1, 37]",11,"[11, 13, 6, 7, 12, 28, 30, 8, 3, 1, 37]",11,26,390,454,3,958.1377419999626,1,STOP,False,5a54df483f744fd35a4b3986d2c2f194305f4dffa2b1ca27b4a466bb98eafece,,,,
complete,2,5a80d1ce554299260e20a178,Are Asimov's Science Fiction and The Christian Science Sentinel both magazines?,"[""yes""]",10,adaptive_offline_global,gemini-3.5-flash-lite,No,0.0,0.0,0.5,0.5,0.0,0.0,6,15,"[6, 7, 8, 36, 35, 2, 19, 4, 3, 23, 5]",11,"[6, 7, 8, 36, 35, 2, 19, 4, 3, 23]",10,34,385,439,1,7084.10960800029,1,STOP,False,70d459b5ce5c312d6a468b32210915639a3c61dd864aeb934087b53f4d253419,,,,
complete,2,5a80d1ce554299260e20a178,Are Asimov's Science Fiction and The Christian Science Sentinel both magazines?,"[""yes""]",10,adaptive_online_warm,gemini-3.5-flash-lite,No,0.0,0.0,0.5,0.5,0.0,0.0,6,15,"[6, 7, 8, 36, 35, 2, 19, 4, 3, 23, 5]",11,"[6, 7, 8, 36, 35, 2, 19, 4, 3, 23]",10,34,385,439,1,7084.10960800029,1,STOP,True,70d459b5ce5c312d6a468b32210915639a3c61dd864aeb934087b53f4d253419,"[0.3407014540292185, 0.6592985459707815]","[0.37625580978416867, 0.6237441902158314]",1.0,ranking_miss_update
