q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,What year was the author of Cock and Bull born? ,1961,148,13,13,13,1961,Not mentioned.,Not mentioned.,1.0,0.0,0.0,1.0,0.0,0.0
1,The Greatest Event in Television History aired on the channel that was founded by whom?,Betty Cohen,213,13,13,13,Ted Turner,Ted Turner,Not stated in the context.,0.0,0.0,0.0,0.0,0.0,0.0
2,When did the place in Canada where François Beaucourt (1740-1794) was mainly active acquired its present name?,1763,225,13,13,13,"After 1763, as the Province of Quebec, but the question likely refers to the modern name ""Quebec"". The context does not provide a specific date for this name change.","After 1763, as Province of Quebec",Not stated in the passage.,0.0,0.0,0.0,0.08,0.2857,0.0
3,When was Erik Watts' father born?,"May 5, 1939",176,13,13,13,"May 5, 1939","May 5, 1939",Not mentioned,1.0,1.0,0.0,1.0,1.0,0.0
4,Where did the punter for the Dallas Cowboys in the 1980s play college football?,Arizona State University,163,13,13,13,Not mentioned.,Not specified in the context.,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
5,Who did the actor that plays Sean Tully defeat in a dancing contest?,Jodie Prenger,195,13,13,13,Not specified,Not specified,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
6,Santa Bring My Baby Back was released on which fourth Elvis studio album in 1957?,Elvis' Christmas Album,123,13,13,13,Elvis' Christmas Album,Elvis' Christmas Album,Elvis' Christmas Album,1.0,1.0,1.0,1.0,1.0,1.0
7,"When did the animated series Kent Scott wrote end after beginning in September of 2002 on ""Nick on CBS""?",November,200,13,13,13,"November 23, 2002","November 23, 2002","November 23, 2002",0.0,0.0,0.0,0.5,0.5,0.5
8,The winner of the the London Riders' Championship in 1953 scored how many points in the 1952 Individual Speedway World Championship?,14,75,13,13,13,14 points,Not mentioned.,Not mentioned,0.0,0.0,0.0,0.6667,0.0,0.0
9,What is the day of the horse race of which ESPN covers both the post position draw and the undercard races?,Saturday,139,13,13,13,Kentucky Derby and Preakness Stakes,Kentucky Derby,Kentucky Derby and Preakness Stakes,0.0,0.0,0.0,0.0,0.0,0.0
10,Are Portland International Airport and Gerald R. Ford International Airport both located in Oregon?,no,222,13,13,13,"No, only Portland International Airport",No,No,0.0,1.0,1.0,0.3333,1.0,1.0
11,John Paesano wrote which film for DreamWorks Dragons?,Dragons: Riders of Berk,230,13,13,13,Not mentioned.,Not mentioned.,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
12,Yau Ma Tei North is a district of a city with how many citizens?,7.2 million,227,13,13,13,7.4 million,"7,413,070",7.4 million,0.0,0.0,0.0,0.5,0.0,0.5
13,What was the population in 2010 of the town where The Stelljes House is located ?,810,161,13,13,13,Not given.,Not given.,Not provided.,0.0,0.0,0.0,0.0,0.0,0.0
14,The FIBT World Championships 1960 took place in a town located in which part of Italy ?,the Veneto region of Northern Italy,145,13,13,13,Northern Italy,Northern Italy,Northern Italy,0.0,0.0,0.0,0.5714,0.5714,0.5714
15,What was the home city of the author of the famous novel tracing the life of a male roe deer from his birth onward?,Vienna,212,13,13,13,There is no information about a novel or its author in the context.,There is no information about the author or the novel.,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
16,Who starred in her final film role in the 1964 film directed by the man who also did Vera Cruz and Kiss Me Deadly?,Mary Astor,218,13,13,13,Bette Davis,"Cloris Leachman is not mentioned, however, the director mentioned is Robert Aldrich. The answer is likely to be  Kitty Kallen's co-star in the 1964 film 'Hush... Hush, Sweet Charlotte' or possibly  '4 for Texas', but the text does not provide enough information",Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
17,"Which band, Matthew Good Band or Switchfoot is still together?",Switchfoot,160,13,13,13,Switchfoot,Switchfoot,Switchfoot,1.0,1.0,1.0,1.0,1.0,1.0
18,"Where is the airline company that operated United Express Flight 3411 on April 9, 2017 on behalf of United Express headquartered?","Indianapolis, Indiana",227,13,13,13,Republic Airways,"Indianapolis, Indiana","Republic Airways, Indianapolis (but context only mentions it is located in Chicago at the time)",0.0,1.0,0.0,0.0,1.0,0.125
19,"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Levni Yilmaz,132,13,13,13,"Neither, another filmmaker.",Aryanto Yuniawan or Pamela B. Green,Pamela B. Green,0.0,0.0,0.0,0.0,0.0,0.0
20,What occupation is shared by both Marge Piercy and Richard Aldington?,poet,221,13,13,13,Writer,Poet and writer,Writer,0.0,0.0,0.0,0.0,0.5,0.0
21,Which artist is known for his work on Marvel Team-Up and Batman: Son of the Demon?,"Gerald ""Jerry"" Joseph Bingham, Jr.",230,13,13,13,Jerry Bingham,Jerry Bingham,Jerry Bingham,0.0,0.0,0.0,0.5714,0.5714,0.5714
22,What types of activities occur in both the Bennington and Bridgewater Triangles?,alleged paranormal phenomena,230,13,13,13,"Paranormal phenomena, bigfoot-like sightings.","Disappearances, paranormal phenomena, Bigfoot-like sightings.","Disappearances, strange happenings.",0.0,0.0,0.0,0.5714,0.5,0.0
23,Are Yut and Tsuro both board games?,yes,160,13,13,13,"Yes, Tsuro is.","Yes, Tsuro is.",Only Tsuro.,0.0,0.0,0.0,0.5,0.5,0.0
24,"Angelspit toured the United States with an American electronic music duo from Orlando, Florida, that formed in what year?",2006,118,13,13,13,"2007 (not mentioned), actually 2011 with Blood on the Dance Floor",2007,2007,0.0,0.0,0.0,0.0,0.0,0.0
25,"In 135 BC, a second campaign was sent to intervene in a war between Minyue and another ancient kingdom established at the collapse of whom?",the Qin dynasty,208,13,13,13,The Qin dynasty,the Qin,Qin,1.0,0.0,0.0,1.0,0.6667,0.6667
26,"Professional cyclist Sara Symington competed in which Olympic Games held in Sydeney, Australia?",2000 Summer Olympic Games,161,13,13,13,2000 Summer Olympics,2000 Summer Olympics,2000 Summer Olympics,0.0,0.0,0.0,0.5714,0.5714,0.5714
27,Are Werther and The Odyssey both operas?,no,223,13,13,13,"No, The Odyssey is an epic poem and also the title of a symphony.","No, only The Odyssey is mentioned as an opera.","No, only The Odyssey is mentioned as an opera.",0.0,0.0,0.0,0.1818,0.25,0.25
28,"The ""New York Times"" bestselling book ""The 50th Law"" contains lessons and anecdotes from this historical figure who was a classical Greek (Athenian) philosopher who is known mainly through the writings of which philosopher?",Plato,231,13,13,13,"Socrates, Plato","Socrates, Plato","Socrates, Plato",0.0,0.0,0.0,0.6667,0.6667,0.6667
29,Who directed the film where Susanne Pollatschek voiced Olivia Flaversham?,"Burny Mattinson, David Michener, and the team of John Musker and Ron Clements",227,13,13,13,Not mentioned.,There is no information about Susanne Pollatschek or Olivia Flaversham in the provided context.,"John Musker, Ron Clements, Dave Michener, and Burny Mattinson.",0.0,0.0,0.0,0.0,0.0,0.7619
30,Who did Fredric Rieders tesify agains who had killed as many as 60 patients and recieved three consecutive life terms to be served in Florence Colorado?,Michael Swango,227,13,13,13,Michael Swango,Michael Swango,Michael Swango,1.0,1.0,1.0,1.0,1.0,1.0
31,Broadbent Arena and Freedom Hall are landmarks of which U.S. city?,Louisville,79,13,13,13,"Louisville, Kentucky","Louisville, Kentucky","Louisville, Kentucky",0.0,0.0,0.0,0.6667,0.6667,0.6667
32,"Which is farther north, Steel Venom or Wicked Twister?",Wicked Twister,136,13,13,13,Steel Venom,Steel Venom,Steel Venom,0.0,0.0,0.0,0.0,0.0,0.0
33,Who choreographed one who is said to be the last muse for the choreographer and starred in the Nutcracker?,George Balanchine,178,13,13,13,George Balanchine,George Balanchine,George Balanchine,1.0,1.0,1.0,1.0,1.0,1.0
34,What organization does Sandra Pizzarello and Doctorate have in common?,University,232,13,13,13,University of Padua,"NASA Astrobiology Institute (NAI) and University are not mentioned for Doctorate, but both Sandra Pizzarello and a Doctor (title) can be associated with a University.",Arizona State University (ASU),0.0,0.0,0.0,0.5,0.0833,0.4
35,"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",IK Start,53,13,13,13,Start,Start,Start,0.0,0.0,0.0,0.6667,0.6667,0.6667
36,In which six Western European territories have Celtic languages or cultural traits survived?,"Brittany, Cornwall, Ireland, Isle of Man, Scotland and Wales.",215,13,13,13,"Brittany, Great Britain, Ireland, Isle of Man, Cornwall, and Scotland","Ireland, Scotland, Wales, Brittany, Cornwall, Isle of Man.","Brittany, Cornwall, Ireland, Isle of Man, Scotland, Wales",0.0,0.0,0.0,0.8421,0.9412,0.9412
37,"In what event was Harold Davis a former record holder, but now is held by Usain Bolt?",100 metres,121,13,13,13,Not mentioned.,Not mentioned.,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
38,What was the first year a scientific journal published by an organization located in the Bronx was published?,1909,197,13,13,13,1931,1931,1931,0.0,0.0,0.0,0.0,0.0,0.0
39,In what year did the Tornoto International Film Fesitval premiere a movie produced by BBC Films?,2011,180,13,13,13,Not mentioned.,Not mentioned.,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
40,"Where is the host of the American survival skills reality show, The Island, originally from?",Northern Ireland,235,13,13,13,Not mentioned.,"Les Stroud is Canadian, but the question is about the host of ""The Island"", not mentioned in the context.","Les Stroud, Canadian.",0.0,0.0,0.0,0.0,0.0,0.0
41,"The telenova ""El Ardiente Secreto"" was based ona novel published under what pen name?","""Currer Bell""",228,13,13,13,Charlotte Brontë,Currer Bell,Charlotte Brontë (no pen name mentioned),0.0,1.0,0.0,0.0,1.0,0.0
42,Which conference is the team for which Justin Bannan played college football currently a member of?,Pac-12 Conference,153,13,13,13,Pac-12 Conference,Pac-12,Pac-12,1.0,0.0,0.0,1.0,0.6667,0.6667
43,The Red Queen's Race is a science fiction short story that uses the Red Queen's race from a novel by Lewis Carroll that is the sequel to what?,Alice's Adventures in Wonderland,212,13,13,13,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,1.0,1.0,1.0,1.0,1.0,1.0
44,"What is the first name of the author who wrote the play in which Rønnaug Alten made her stage debut at Den Nationale Scene in 1930 as ""Viola""?",William,49,13,13,13,William,William,William,1.0,1.0,1.0,1.0,1.0,1.0
