q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,What year was the author of Cock and Bull born? ,1961,148,13,13,13,26 September 1961,Not provided in context,Not provided in the context,0.0,0.0,0.0,0.5,0.0,0.0
1,The Greatest Event in Television History aired on the channel that was founded by whom?,Betty Cohen,213,13,13,13,Ted Turner,Ted Turner,Cartoon Network,0.0,0.0,0.0,0.0,0.0,0.0
2,When did the place in Canada where François Beaucourt (1740-1794) was mainly active acquired its present name?,1763,225,13,13,13,1763,1763,"Based on the provided context, there is no mention of when the place acquired its present name.",1.0,1.0,0.0,1.0,1.0,0.0
3,When was Erik Watts' father born?,"May 5, 1939",176,13,13,13,"May 5, 1939","May 5, 1939",Not mentioned in the context,1.0,1.0,0.0,1.0,1.0,0.0
4,Where did the punter for the Dallas Cowboys in the 1980s play college football?,Arizona State University,163,13,13,13,Not provided in the context,Not provided in the context,"Based on the provided context, there is no mention of a punter for the Dallas Cowboys in the 1980s or where he played college football.",0.0,0.0,0.0,0.0,0.0,0.0
5,Who did the actor that plays Sean Tully defeat in a dancing contest?,Jodie Prenger,195,13,13,13,Not mentioned in the context,Not mentioned in context,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
6,Santa Bring My Baby Back was released on which fourth Elvis studio album in 1957?,Elvis' Christmas Album,123,13,13,13,*Elvis' Christmas Album*,*Elvis' Christmas Album*,Elvis' Christmas Album,1.0,1.0,1.0,1.0,1.0,1.0
7,"When did the animated series Kent Scott wrote end after beginning in September of 2002 on ""Nick on CBS""?",November,200,13,13,13,"November 23, 2002","November 23, 2002","November 23, 2002",0.0,0.0,0.0,0.5,0.5,0.5
8,The winner of the the London Riders' Championship in 1953 scored how many points in the 1952 Individual Speedway World Championship?,14,75,13,13,13,14 points,Not mentioned in the context,Not mentioned in context,0.0,0.0,0.0,0.6667,0.0,0.0
9,What is the day of the horse race of which ESPN covers both the post position draw and the undercard races?,Saturday,139,13,13,13,Kentucky Derby,Kentucky Derby,Kentucky Derby,0.0,0.0,0.0,0.0,0.0,0.0
10,Are Portland International Airport and Gerald R. Ford International Airport both located in Oregon?,no,222,13,13,13,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0
11,John Paesano wrote which film for DreamWorks Dragons?,Dragons: Riders of Berk,230,13,13,13,Not mentioned in the context.,Not mentioned in the context.,"Based on the provided context, there is no mention of John Paesano.",0.0,0.0,0.0,0.0,0.0,0.1333
12,Yau Ma Tei North is a district of a city with how many citizens?,7.2 million,227,13,13,13,7.4 million residents,"12,817","12,817",0.0,0.0,0.0,0.4,0.0,0.0
13,What was the population in 2010 of the town where The Stelljes House is located ?,810,161,13,13,13,Not provided in the context,796 (at the 2020 census; 2010 population not mentioned),"Based on the provided context, the population in 2010 is not mentioned (only the 2020 census population of 796 is given for Goshen).",0.0,0.0,0.0,0.0,0.0,0.0
14,The FIBT World Championships 1960 took place in a town located in which part of Italy ?,the Veneto region of Northern Italy,145,13,13,13,Cortina d'Ampezzo,Cortina d'Ampezzo,Cortina d'Ampezzo,0.0,0.0,0.0,0.0,0.0,0.0
15,What was the home city of the author of the famous novel tracing the life of a male roe deer from his birth onward?,Vienna,212,13,13,13,Not mentioned in the context,Not mentioned in the context.,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
16,Who starred in her final film role in the 1964 film directed by the man who also did Vera Cruz and Kiss Me Deadly?,Mary Astor,218,13,13,13,*Context does not provide this information.*,"Based on the provided context, there is no mention of a 1964 film, *Kiss Me Deadly*, or a final film role.","Based on the provided context, there is no mention of a 1964 film, *Kiss Me Deadly*, or an actress starring in her final film role.",0.0,0.0,0.0,0.0,0.0,0.0
17,"Which band, Matthew Good Band or Switchfoot is still together?",Switchfoot,160,13,13,13,Switchfoot,Switchfoot,Switchfoot,1.0,1.0,1.0,1.0,1.0,1.0
18,"Where is the airline company that operated United Express Flight 3411 on April 9, 2017 on behalf of United Express headquartered?","Indianapolis, Indiana",227,13,13,13,Not provided in the context,"Based on the provided context, there is no mention of where the airline company (Republic Airways) is headquartered.","Based on the provided context, there is no mention of where the airline company operating the flight (Republic Airways) is headquartered.",0.0,0.0,0.0,0.0,0.0,0.0
19,"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Levni Yilmaz,132,13,13,13,Neither (or not mentioned),Neither (Aryanto Yuniawan),Pamela B. Green,0.0,0.0,0.0,0.0,0.0,0.0
20,What occupation is shared by both Marge Piercy and Richard Aldington?,poet,221,13,13,13,"Based on the provided context, there is no mention of Richard Aldington.",Not mentioned in the context.,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
21,Which artist is known for his work on Marvel Team-Up and Batman: Son of the Demon?,"Gerald ""Jerry"" Joseph Bingham, Jr.",230,13,13,13,Jerry Bingham,Jerry Bingham,Jerry Bingham,0.0,0.0,0.0,0.5714,0.5714,0.5714
22,What types of activities occur in both the Bennington and Bridgewater Triangles?,alleged paranormal phenomena,230,13,13,13,Bigfoot-like sightings and people going missing (disappearances),Bigfoot sightings,Bigfoot-like sightings,0.0,0.0,0.0,0.0,0.0,0.0
23,Are Yut and Tsuro both board games?,yes,160,13,13,13,Not mentioned in context,Not mentioned in context,Yes,0.0,0.0,1.0,0.0,0.0,1.0
24,"Angelspit toured the United States with an American electronic music duo from Orlando, Florida, that formed in what year?",2006,118,13,13,13,"Based on the provided context, there is no mention of Orlando, Florida, or the formation year of the electronic music duo.","Based on the provided context, there is no mention of the formation year or the origin city of the American electronic music duo (Blood on the Dance Floor) that Angelspit toured with.",2007,0.0,0.0,0.0,0.0,0.0,0.0
25,"In 135 BC, a second campaign was sent to intervene in a war between Minyue and another ancient kingdom established at the collapse of whom?",the Qin dynasty,208,13,13,13,the Qin,the Qin,the Qin,0.0,0.0,0.0,0.6667,0.6667,0.6667
26,"Professional cyclist Sara Symington competed in which Olympic Games held in Sydeney, Australia?",2000 Summer Olympic Games,161,13,13,13,2000 Summer Olympics,2000 Summer Olympics,2000 Summer Olympics,0.0,0.0,0.0,0.5714,0.5714,0.5714
27,Are Werther and The Odyssey both operas?,no,223,13,13,13,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0
28,"The ""New York Times"" bestselling book ""The 50th Law"" contains lessons and anecdotes from this historical figure who was a classical Greek (Athenian) philosopher who is known mainly through the writings of which philosopher?",Plato,231,13,13,13,Plato,Plato,Plato,1.0,1.0,1.0,1.0,1.0,1.0
29,Who directed the film where Susanne Pollatschek voiced Olivia Flaversham?,"Burny Mattinson, David Michener, and the team of John Musker and Ron Clements",227,13,13,13,"Based on the provided context, there is no mention of a film where Susanne Pollatschek voiced Olivia Flaversham or who directed such a film.",Not mentioned in context,Not mentioned in context,0.0,0.0,0.0,0.0606,0.0,0.0
30,Who did Fredric Rieders tesify agains who had killed as many as 60 patients and recieved three consecutive life terms to be served in Florence Colorado?,Michael Swango,227,13,13,13,Michael Swango,Michael Swango,Michael Swango,1.0,1.0,1.0,1.0,1.0,1.0
31,Broadbent Arena and Freedom Hall are landmarks of which U.S. city?,Louisville,79,13,13,13,"Louisville, Kentucky","Louisville, Kentucky","Louisville, Kentucky",0.0,0.0,0.0,0.6667,0.6667,0.6667
32,"Which is farther north, Steel Venom or Wicked Twister?",Wicked Twister,136,13,13,13,Wicked Twister,Not mentioned in context,Steel Venom,1.0,0.0,0.0,1.0,0.0,0.0
33,Who choreographed one who is said to be the last muse for the choreographer and starred in the Nutcracker?,George Balanchine,178,13,13,13,George Balanchine,George Balanchine,George Balanchine,1.0,1.0,1.0,1.0,1.0,1.0
34,What organization does Sandra Pizzarello and Doctorate have in common?,University,232,13,13,13,University of Padua,NASA Astrobiology Institute (NAI),University of Padua,0.0,0.0,0.0,0.5,0.0,0.5
35,"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",IK Start,53,13,13,13,Start,Start,Start,0.0,0.0,0.0,0.6667,0.6667,0.6667
36,In which six Western European territories have Celtic languages or cultural traits survived?,"Brittany, Cornwall, Ireland, Isle of Man, Scotland and Wales.",215,13,13,13,"Brittany, Cornwall, Wales, Ireland, the Isle of Man, and Scotland","Brittany, Ireland, Scotland, Wales, Cornwall, and the Isle of Man","Brittany, Cornwall, Ireland, the Isle of Man, Scotland, and Wales",0.0,0.0,1.0,1.0,1.0,1.0
37,"In what event was Harold Davis a former record holder, but now is held by Usain Bolt?",100 metres,121,13,13,13,Not mentioned in context,*Not mentioned in context*,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
38,What was the first year a scientific journal published by an organization located in the Bronx was published?,1909,197,13,13,13,1931,1931,1931,0.0,0.0,0.0,0.0,0.0,0.0
39,In what year did the Tornoto International Film Fesitval premiere a movie produced by BBC Films?,2011,180,13,13,13,Not mentioned in the context,Not mentioned in the context,Not mentioned,0.0,0.0,0.0,0.0,0.0,0.0
40,"Where is the host of the American survival skills reality show, The Island, originally from?",Northern Ireland,235,13,13,13,Not mentioned in the context.,Not mentioned in the context,Not provided in the context.,0.0,0.0,0.0,0.0,0.0,0.0
41,"The telenova ""El Ardiente Secreto"" was based ona novel published under what pen name?","""Currer Bell""",228,13,13,13,Charlotte Brontë,Currer Bell,Charlotte Brontë,0.0,1.0,0.0,0.0,1.0,0.0
42,Which conference is the team for which Justin Bannan played college football currently a member of?,Pac-12 Conference,153,13,13,13,Colorado,Colorado,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
43,The Red Queen's Race is a science fiction short story that uses the Red Queen's race from a novel by Lewis Carroll that is the sequel to what?,Alice's Adventures in Wonderland,212,13,13,13,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,*Alice's Adventures in Wonderland*,1.0,1.0,1.0,1.0,1.0,1.0
44,"What is the first name of the author who wrote the play in which Rønnaug Alten made her stage debut at Den Nationale Scene in 1930 as ""Viola""?",William,49,13,13,13,William,William,William,1.0,1.0,1.0,1.0,1.0,1.0
45,"Which film was released first, Summer Magic or Around the World in 80 Days?",Summer Magic,218,13,13,13,Summer Magic (1963),Around the World in 80 Days,Summer Magic (1963),0.0,0.0,0.0,0.8,0.0,0.8
46,Are both French Spaniel and Beagle universally recognized breeds?,no,216,13,13,13,Not mentioned in the context,Not mentioned in context,Not mentioned in context,0.0,0.0,0.0,0.0,0.0,0.0
47,The 1958 Pro Bowl was played at the California stadium that is the home for which college?,University of Southern California,214,13,13,13,Pac-12 Conference,"Based on the provided context, there is no mention of which college plays at the Los Angeles Memorial Coliseum.","Based on the provided context, the answer is not mentioned.",0.0,0.0,0.0,0.0,0.0952,0.0
48,What are some other areas that share a common deer species with the forests of Mara and Mondrem?,"New Zealand, Canada, the United States, the Falkland Islands, and Peru.",220,13,13,13,*Not mentioned in context*,Macclesfield and Wirral,*Not mentioned in the context*,0.0,0.0,0.0,0.0,0.1667,0.0
49,Are Tantrix and Personal Preference both types of games?,yes,205,13,13,13,Not mentioned / Only Tantrix is mentioned,Tantrix is a game (Personal Preference is not mentioned in the context).,No,0.0,0.0,0.0,0.0,0.0,0.0
50,"Who was born first, Juan Rulfo or John le Carré?",Juan Rulfo,208,13,13,13,Juan Rulfo,Juan Rulfo,Not mentioned in the context,1.0,1.0,0.0,1.0,1.0,0.0
51,What American actress stars in Tainted?,Shari Shattuck,177,13,13,13,Not mentioned in context.,Not mentioned in context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
52,What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,821,123,13,13,13,Not provided in the context,Not provided in the context,19800,0.0,0.0,0.0,0.0,0.0,0.0
53,Why is Bangor Daily News talkin about Sawin Millett?,Commissioner by the Maine Senate,128,13,13,13,*Not mentioned in context*,Not mentioned in the context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
54,"What Friday night programming block included what collective series that includes ""Whatever Happened to... Robot Jones?""?",Cartoon Cartoon Fridays,164,13,13,13,Voice Your Choice Weekend,Voice Your Choice Weekend,Voice Your Choice Weekend,0.0,0.0,0.0,0.0,0.0,0.0
55,An American who is a German literature translator and did a thesis on an Austrian prodigy born in 1874 taught at which university?,University of Vienna,202,13,13,13,Not mentioned in the context,Cornell University,Not mentioned in the text.,0.0,0.0,0.0,0.0,0.4,0.0
56,Who is a winner of the 2013 6 Hours of Silverstone a co-commentator for?,BBC Formula One,93,13,13,13,Not mentioned in the context,Not mentioned in the context,"Based on the provided context, there is no mention of anyone being a co-commentator.",0.0,0.0,0.0,0.0,0.0,0.0
57,What is the nationality of the author of Fifty Shades Freed?,English,228,13,13,13,British,British,British,0.0,0.0,0.0,0.0,0.0,0.0
58,What Nobel Laureate teaches at  Chapman University?,Vernon Smith,222,13,13,13,Dr. Vernon L. Smith,Dr. Vernon L. Smith,Dr. Vernon L. Smith,0.0,0.0,0.0,0.6667,0.6667,0.6667
59,After Russell D. Moore served at the Southern Baptist Theological Seminary he became the President of The Ethics & Religious Liberty Commission (ERLC) in what year?,2013,162,13,13,13,2013,2013,2013,1.0,1.0,1.0,1.0,1.0,1.0
