event_id,session_id,step_id,document_id,current_chunk_id,target_chunk_id,query_type
0,train:hotpot:25,0,hotpot:25,175,172,semantic
1,train:hotpot:48,0,hotpot:48,271,274,semantic
2,train:hotpot:47,0,hotpot:47,261,263,multi-hop
3,train:hotpot:1,0,hotpot:1,12,14,multi-hop
4,train:hotpot:168,0,hotpot:168,972,979,multi-hop
5,train:hotpot:102,0,hotpot:102,597,605,semantic
6,train:hotpot:90,0,hotpot:90,534,530,semantic
7,train:hotpot:138,0,hotpot:138,829,824,semantic
8,train:hotpot:94,0,hotpot:94,541,542,structural
9,train:hotpot:85,0,hotpot:85,492,495,structural
10,train:hotpot:137,0,hotpot:137,817,820,semantic
11,train:hotpot:139,0,hotpot:139,836,838,multi-hop
12,train:hotpot:35,0,hotpot:35,219,226,multi-hop
13,train:hotpot:110,0,hotpot:110,648,650,multi-hop
14,train:hotpot:56,0,hotpot:56,343,338,multi-hop
15,train:hotpot:94,1,hotpot:94,544,540,semantic
16,train:hotpot:136,0,hotpot:136,800,804,semantic
17,train:hotpot:98,0,hotpot:98,568,565,multi-hop
18,train:hotpot:176,0,hotpot:176,1020,1017,multi-hop
19,train:hotpot:99,0,hotpot:99,579,581,structural
20,train:hotpot:55,0,hotpot:55,325,328,semantic
21,train:hotpot:54,0,hotpot:54,314,324,semantic
22,train:hotpot:139,1,hotpot:139,842,839,multi-hop
23,train:hotpot:29,0,hotpot:29,190,191,structural
24,train:hotpot:74,0,hotpot:74,443,445,multi-hop
25,train:hotpot:86,0,hotpot:86,509,502,semantic
26,train:hotpot:179,0,hotpot:179,1047,1048,structural
27,train:hotpot:74,1,hotpot:74,443,447,multi-hop
28,train:hotpot:56,1,hotpot:56,345,341,semantic
29,train:hotpot:29,1,hotpot:29,190,185,semantic
30,train:hotpot:85,1,hotpot:85,490,499,multi-hop
31,train:hotpot:176,1,hotpot:176,1021,1017,semantic
32,train:hotpot:25,1,hotpot:25,179,180,structural
33,train:hotpot:115,0,hotpot:115,677,679,structural
34,train:hotpot:1,1,hotpot:1,17,14,multi-hop
35,train:hotpot:29,2,hotpot:29,184,193,semantic
36,train:hotpot:126,0,hotpot:126,731,733,multi-hop
37,train:hotpot:74,2,hotpot:74,448,445,multi-hop
38,train:hotpot:57,0,hotpot:57,355,357,structural
39,train:hotpot:140,0,hotpot:140,846,859,semantic
40,train:hotpot:54,1,hotpot:54,317,319,multi-hop
41,train:hotpot:54,2,hotpot:54,317,324,semantic
42,train:hotpot:16,0,hotpot:16,103,105,structural
43,train:hotpot:179,1,hotpot:179,1045,1047,multi-hop
44,train:hotpot:176,2,hotpot:176,1017,1023,semantic
45,train:hotpot:160,0,hotpot:160,931,933,structural
46,train:hotpot:117,0,hotpot:117,700,707,semantic
47,train:hotpot:107,0,hotpot:107,619,622,multi-hop
48,train:hotpot:126,1,hotpot:126,727,729,multi-hop
49,train:hotpot:183,0,hotpot:183,1091,1088,multi-hop
50,train:hotpot:32,0,hotpot:32,213,215,multi-hop
51,train:hotpot:16,1,hotpot:16,101,108,multi-hop
52,train:hotpot:19,0,hotpot:19,143,145,multi-hop
53,train:hotpot:129,0,hotpot:129,759,763,multi-hop
54,train:hotpot:126,2,hotpot:126,726,723,multi-hop
55,train:hotpot:179,2,hotpot:179,1041,1043,structural
56,train:hotpot:129,1,hotpot:129,759,763,semantic
57,train:hotpot:107,1,hotpot:107,618,619,structural
58,train:hotpot:57,1,hotpot:57,356,357,structural
59,train:hotpot:86,1,hotpot:86,508,509,structural
60,train:hotpot:4,0,hotpot:4,41,44,multi-hop
61,train:hotpot:85,2,hotpot:85,494,496,multi-hop
62,train:hotpot:47,1,hotpot:47,257,260,semantic
63,train:hotpot:138,1,hotpot:138,826,827,structural
64,train:hotpot:56,2,hotpot:56,339,340,structural
65,train:hotpot:55,1,hotpot:55,333,335,structural
66,train:hotpot:159,0,hotpot:159,922,924,multi-hop
67,train:hotpot:160,1,hotpot:160,936,938,multi-hop
68,train:hotpot:168,1,hotpot:168,975,968,semantic
69,train:hotpot:183,1,hotpot:183,1093,1089,multi-hop
70,train:hotpot:166,0,hotpot:166,958,960,structural
71,train:hotpot:86,2,hotpot:86,506,511,multi-hop
72,train:hotpot:75,0,hotpot:75,458,453,semantic
73,train:hotpot:94,2,hotpot:94,543,546,multi-hop
74,train:hotpot:90,1,hotpot:90,525,534,multi-hop
75,train:hotpot:5,0,hotpot:5,52,54,multi-hop
76,train:hotpot:35,1,hotpot:35,226,228,structural
77,train:hotpot:160,2,hotpot:160,934,938,multi-hop
78,train:hotpot:176,3,hotpot:176,1023,1017,multi-hop
79,train:hotpot:100,0,hotpot:100,587,589,multi-hop
80,train:hotpot:140,1,hotpot:140,853,856,multi-hop
81,train:hotpot:25,2,hotpot:25,171,180,multi-hop
82,train:hotpot:160,3,hotpot:160,936,938,multi-hop
83,train:hotpot:25,3,hotpot:25,179,181,multi-hop
84,train:hotpot:159,1,hotpot:159,924,930,multi-hop
85,train:hotpot:48,1,hotpot:48,268,270,multi-hop
86,train:hotpot:139,2,hotpot:139,838,842,semantic
87,train:hotpot:47,2,hotpot:47,254,262,multi-hop
88,train:hotpot:7,0,hotpot:7,58,63,multi-hop
89,train:hotpot:5,1,hotpot:5,50,52,multi-hop
90,train:hotpot:1,2,hotpot:1,18,22,multi-hop
91,train:hotpot:4,1,hotpot:4,40,43,multi-hop
