q_idx,config_k,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,3,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,4,4,4,Chris Savino.,Aaron Spelling,American.,0.0,0.0,0.0,0.0,0.0,0.0
0,4,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,5,5,5,Chris Savino.,American.,American.,0.0,0.0,0.0,0.0,0.0,0.0
0,5,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,6,6,6,Chris Savino,Chris Savino,Aaron Spelling,0.0,0.0,0.0,0.0,0.0,0.0
0,6,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,7,7,7,Chris Savino,Chris Savino,Aaron Spelling,0.0,0.0,0.0,0.0,0.0,0.0
0,8,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,9,9,9,Chris Savino.,Chris Savino,Aaron Spelling,0.0,0.0,0.0,0.0,0.0,0.0
0,10,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,11,11,11,Chris Savino.,Chris Savino.,Aaron Spelling,0.0,0.0,0.0,0.0,0.0,0.0
0,12,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,13,13,13,Chris Savino.,"Nickelodeon announced that the series had been picked up for a third season of 26 episodes. On May 2, 2017, Nickelodeon",Aaron Spelling,0.0,0.0,0.0,0.0,0.0,0.0
0,14,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,15,15,15,"randes, and a spin-off animated series The Really Loud House.

The series has also been adapted into a stage play, The Loud House: The Musical,","Nickelodeon announced that the series had been picked up for a third season of 26 episodes. On May 2, 2017, Nickelodeon",Aaron Spelling,0.0,0.0,0.0,0.0,0.0,0.0
0,16,Who is the author of Growing Up this nationality of the creator MacGruder and Loud?,Min Zhou | Carl L. Bankston,224,17,17,17,"randes, and a spin-off animated series The Really Loud House.

The series has also been adapted into a stage play, The Loud House: The Musical,","Nickelodeon announced that the series had been picked up for a third season of 26 episodes. On May 2, 2017, Nickelodeon",Chris Savino,0.0,0.0,0.0,0.0,0.0,0.0
1,3,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,4,4,4,"October 2, 1951.","October 2, 1951.",2008.,0.0,0.0,0.0,0.0,0.0,0.0
1,4,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,5,5,5,1809 in Michigan Territory.,"October 2, 1951.",2008.,0.0,0.0,0.0,0.0,0.0,0.0
1,5,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,6,6,6,1809 in Michigan Territory.,"October 2, 1951",2008.,0.0,0.0,0.0,0.0,0.0,0.0
1,6,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,7,7,7,1951.,1951.,"Cambridge, Massachusetts.",0.0,0.0,0.0,0.0,0.0,0.0
1,8,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,9,9,9,1951.,1951.,1992.,0.0,0.0,0.0,0.0,0.0,0.0
1,10,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,11,11,11,1951.,2001.,1951.,0.0,0.0,0.0,0.0,0.0,0.0
1,12,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,13,13,13,1951.,"efforts to establish a community center in the area. Simmons also worked as a volunteer for the Cambridge Community Center, where she helped to establish a youth program.

Sim",1992.,0.0,0.0,0.0,0.0,0.0,0.0
1,14,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,15,15,15,"also established the ""Cambridge City Council's Community Development Committee"" to promote community development and social services.

The Cambridge City Council's Community Development Committee was established in","efforts to establish a community center in the area. Simmons also worked as a volunteer for the Cambridge Community Center, where she helped to establish a youth program.

Sim","DiNapoli.  She won the election in November 2010, and served in the state Senate from 2011 to 2016.",0.0,0.0,0.0,0.0,0.0,0.0
1,16,When did the place of birth of the performer of Mother-in-Law elect its first black Mayor?,1970s,246,17,17,17,"also established the ""Cambridge City Council's Community Development Committee"" to promote community development and social services.

The Cambridge City Council's Community Development Committee was established in","efforts to establish a community center in the area. Simmons also worked as a volunteer for the Cambridge Community Center, where she helped to establish a youth program.

Sim","DiNapoli.  She won the election in November 2010, and served in the state Senate from 2011 to 2016.",0.0,0.0,0.0,0.0,0.0,0.0
2,3,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,4,4,4,Matthew Lawrence.,Matthew Lawrence.,Matthew Lawrence.,1.0,1.0,1.0,1.0,1.0,1.0
2,4,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,5,5,5,Matthew Lawrence.,Matthew Lawrence.,Matthew Lawrence.,1.0,1.0,1.0,1.0,1.0,1.0
2,5,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,6,6,6,Matthew Lawrence.,Matthew Lawrence.,Matthew Lawrence.,1.0,1.0,1.0,1.0,1.0,1.0
2,6,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,7,7,7,Matthew Lawrence.,Matthew Lawrence.,Matthew Lawrence.,1.0,1.0,1.0,1.0,1.0,1.0
2,8,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,9,9,9,Matthew Lawrence.,Matthew Lawrence.,Matthew Lawrence.,1.0,1.0,1.0,1.0,1.0,1.0
2,10,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,11,11,11,"Joey is portrayed by actor Tanner Stine, who was only 8 years old at the time. Joey's character was written out of the show in 200","""Right Time, Right Place"", she accepted his proposal and they got married. They have twins in season 4.

Melissa & Joe's relationship is portrayed",Matthew Lawrence.,0.0,0.0,1.0,0.0,0.0,1.0
2,12,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,13,13,13,"Joey is portrayed by actor Tanner Stine, who was only 8 years old at the time. Joey's character was written out of the show in 200","""Right Time, Right Place"", she accepted his proposal and they got married. They have twins in season 4.

Melissa & Joe's relationship is portrayed","throughout the series. The show was renewed for a second season, but it was cancelled after one season. The show was renewed for a third season, but it",0.0,0.0,0.0,0.0,0.0,0.0
2,14,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,15,15,15,"Joey is portrayed by actor Tanner Stine, who was only 8 years old at the time. Joey's character was written out of the show in 200","""Right Time, Right Place"", she accepted his proposal and they got married. They have twins in season 4.

Melissa & Joe's relationship is portrayed","throughout the series. The show was renewed for a second season, but it was cancelled after one season. The show was renewed for a third season, but it",0.0,0.0,0.0,0.0,0.0,0.0
2,16,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,17,17,17,"Joey is portrayed by actor Tanner Stine, who was only 8 years old at the time. Joey's character was written out of the show in 200","""Right Time, Right Place"", she accepted his proposal and they got married. They have twins in season 4.

Melissa & Joe's relationship is portrayed","throughout the series. The show was renewed for a second season, but it was cancelled after one season. The show was renewed for a third season, but it",0.0,0.0,0.0,0.0,0.0,0.0
3,3,"Along with the Closer performer, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,214,4,4,4,The answer is Fleetwood Mac.,The answer is Michael Jackson.,Dan Fogelberg.,0.0,0.0,0.0,0.0,0.3333,0.0
3,4,"Along with the Closer performer, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,214,5,5,5,Michael Jackson,The answer is Fleetwood Mac.,The Byrds.,0.0,0.0,0.0,0.5,0.0,0.0
3,5,"Along with the Closer performer, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,214,6,6,6,The Eagles.,Michael Jackson,Michael Jackson,0.0,0.0,0.0,0.0,0.5,0.5
3,6,"Along with the Closer performer, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,214,7,7,7,The answer is Michael Jackson.,Diana Ross,Michael Jackson.,0.0,0.0,0.0,0.3333,0.0,0.5
3,8,"Along with the Closer performer, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,214,9,9,9,"The artist is likely to be a female artist, and her name is likely to be a well-known female artist of the 1980s.",Diana Ross,Barry Manilow.,0.0,0.0,0.0,0.0,0.0,0.0
