q_idx,config_k,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,3,What are some reasons for the lack of data sharing in archaeobotany?,"Technological limitations, resistance to exposing data to scrutiny, and desire to hold onto data for personal use.",114,4,4,4,"Lack of standardization in data formats, inadequate training for data curators, and limited access to funding for data sharing.","Lack of standardization in data collection and publication practices, inadequate citation and reuse of existing data, and insufficient data sharing and reuse in academic archaeobotany.","Lack of standardization in data collection and publication practices, inadequate citation and reuse of existing data, and insufficient data sharing and reuse in academic archaeobotany.",0.0,0.0,0.0,0.2778,0.1429,0.1429
0,6,What are some reasons for the lack of data sharing in archaeobotany?,"Technological limitations, resistance to exposing data to scrutiny, and desire to hold onto data for personal use.",114,7,7,7,"Lack of formal citation of individual datasets, emphasis on creating new data through primary analysis, and low perception of the value of reuse of previously published datasets.","Lack of standardization in data collection and documentation, limited access to datasets, and the lack of a clear understanding of the importance of data sharing in archaeobotany","Lack of awareness, lack of training, lack of resources, lack of collaboration, lack of funding, lack of infrastructure, lack of data management, lack of data",0.0,0.0,0.0,0.093,0.1951,0.0952
0,8,What are some reasons for the lack of data sharing in archaeobotany?,"Technological limitations, resistance to exposing data to scrutiny, and desire to hold onto data for personal use.",114,9,9,9,"Lack of formal citation of individual datasets, emphasis on new data creation, and perception of reuse of well-documented datasets.

Answer: Lack of formal citation of individual","None. The article does not provide any reasons for the lack of data sharing in archaeobotany. The article only presents the first quantitative assessment of data publication,","Lack of data sharing in archaeobotany is likely due to the lack of quantitative assessment of current levels of data sharing, data citation, and reuse.",0.0,0.0,0.0,0.093,0.15,0.1951
0,12,What are some reasons for the lack of data sharing in archaeobotany?,"Technological limitations, resistance to exposing data to scrutiny, and desire to hold onto data for personal use.",114,13,13,13,"that have examined these aspects of archaeobotany, and provides a quantitative assessment of the current status of these practices. The findings of this study are relevant to archae","data. The data is used to investigate crop choice, crop husbandry, diet, vegetation and a wide range of other past human-plant relationships. The data","emphasis on the importance of open science, and the importance of sharing data and results. The importance of open science is highlighted in the field of archaeobotany,",0.0,0.0,0.0,0.0952,0.2105,0.1
0,16,What are some reasons for the lack of data sharing in archaeobotany?,"Technological limitations, resistance to exposing data to scrutiny, and desire to hold onto data for personal use.",114,17,17,17,"that have examined these aspects of archaeobotany, and provides a quantitative assessment of the current status of these practices. The findings of this study are relevant to archae","data. The data is used to investigate crop choice, crop husbandry, diet, vegetation and a wide range of other past human-plant relationships. The data","emphasis on the importance of open science, and the importance of sharing data and results. The importance of open science is highlighted in the field of archaeobotany,",0.0,0.0,0.0,0.0952,0.2105,0.1
1,3,What types of sensors are now capable of estimating physical activity levels and physiological outcomes of older adults?,Wearable sensors.,185,4,4,4,"Wearable sensors, ambient sensors, and in-built ACC sensors.",Wearable sensors.,Wearable sensors.,0.0,1.0,1.0,0.4,1.0,1.0
1,6,What types of sensors are now capable of estimating physical activity levels and physiological outcomes of older adults?,Wearable sensors.,185,7,7,7,"Wearable sensors, ambient sensors, and physiological sensors (EDA, PPG).","Wearable sensors, including ambient sensors, are now capable of estimating number of steps being taken, physical activity levels, sleep patterns, and physiological outcomes (heart rate","Wearable sensors are now capable of estimating number of steps being taken, physical activity levels, sleep patterns and physiological outcomes (heart rate, skin conductance) of",0.0,0.0,0.0,0.3636,0.1481,0.1481
1,8,What types of sensors are now capable of estimating physical activity levels and physiological outcomes of older adults?,Wearable sensors.,185,9,9,9,"Wearable sensors, ambient sensors, and physiological sensors.","Wearable sensors, ambient sensors, and physiological sensors (e.g., skin conductance, electrodermal activity) are now capable of estimating physical activity levels and","Wearable sensors are now capable of estimating number of steps being taken, physical activity levels, sleep patterns and physiological outcomes (heart rate, skin conductance) of",0.0,0.0,0.0,0.4444,0.1739,0.1481
1,12,What types of sensors are now capable of estimating physical activity levels and physiological outcomes of older adults?,Wearable sensors.,185,13,13,13,"on the sensor signals. Therefore, we need to apply signal processing techniques to remove noise and improve the quality of the sensor data.

\subsection{Machine Learning Algorithm","mography (PPG) sensors, and ambient object sensor signals. (ii) robustness of our model against noise and variability in sensor signals. (iii","years and above are living in the United States, and the number is expected to increase to 14.5 million by 2050. The total annual payments",0.0,0.0,0.0,0.0,0.087,0.0
1,16,What types of sensors are now capable of estimating physical activity levels and physiological outcomes of older adults?,Wearable sensors.,185,17,17,17,"on the sensor signals. Therefore, we need to apply signal processing techniques to remove noise and improve the quality of the sensor data.

\subsection{Machine Learning Algorithm","mography (PPG) sensors, and ambient object sensor signals. (ii) robustness of our model against noise and variability in sensor signals. (iii","years and above are living in the United States, and the number is expected to increase to 14.5 million by 2050. The total annual payments",0.0,0.0,0.0,0.0,0.087,0.0
2,3,What is the purpose of an ICD?,Implantable Cardioverter Defibrillator (ICD) is a surgically implanted electronic device to treat life-threatening heartbeat irregularities.,151,4,4,4,To treat life-threatening heartbeat irregularities.,To treat life-threatening irregular heart rhythms.,To treat life-threatening heartbeat irregularities.,0.0,0.0,0.0,0.5263,0.3,0.5263
2,6,What is the purpose of an ICD?,Implantable Cardioverter Defibrillator (ICD) is a surgically implanted electronic device to treat life-threatening heartbeat irregularities.,151,7,7,7,To treat life-threatening heartbeat irregularities.,To treat life-threatening heartbeat irregularities.,To treat life-threatening heartbeat irregularities.,0.0,0.0,0.0,0.5263,0.5263,0.5263
2,8,What is the purpose of an ICD?,Implantable Cardioverter Defibrillator (ICD) is a surgically implanted electronic device to treat life-threatening heartbeat irregularities.,151,9,9,9,To treat life-threatening heartbeat irregularities.,To treat life-threatening heartbeat irregularities.,To treat life-threatening heartbeat irregularities.,0.0,0.0,0.0,0.5263,0.5263,0.5263
2,12,What is the purpose of an ICD?,Implantable Cardioverter Defibrillator (ICD) is a surgically implanted electronic device to treat life-threatening heartbeat irregularities.,151,13,13,13,".)
AVR – Atrial Ventricular Rhythm: Ventricular rhythm whose rate is greater than 100 beats/min but less than 200 beats/min,",To treat life-threatening heartbeat irregularities.,To treat life-threatening heartbeat irregularities.,0.0,0.0,0.0,0.0606,0.5263,0.5263
2,16,What is the purpose of an ICD?,Implantable Cardioverter Defibrillator (ICD) is a surgically implanted electronic device to treat life-threatening heartbeat irregularities.,151,17,17,17,".)
AVR – Atrial Ventricular Rhythm: Ventricular rhythm whose rate is greater than 100 beats/min but less than 200 beats/min,","it’s used to treat angina pectoris.
Nitroprusside – A medication that relaxes the heart and blood vessels; it’s used to","be triggered by stress, fatigue, or other factors.
Aortic Stenosis – A narrowing of the aortic valve opening, which can impede blood flow",0.0,0.0,0.0,0.0606,0.125,0.0
3,3,When did Simon English become the leader of the National Party?,October 2001.,72,4,4,4,24 October 2017.,1996.,27 February 2018.,0.0,0.0,0.0,0.4,0.0,0.0
3,6,When did Simon English become the leader of the National Party?,October 2001.,72,7,7,7,24 October 2017.,27 February 2018.,27 February 2018.,0.0,0.0,0.0,0.4,0.0,0.0
3,8,When did Simon English become the leader of the National Party?,October 2001.,72,9,9,9,24 October 2017.,27 February 2018.,27 February 2018.,0.0,0.0,0.0,0.4,0.0,0.0
3,12,When did Simon English become the leader of the National Party?,October 2001.,72,13,13,13,"major party. English's election as leader was seen as a significant moment in the party's history, and he was widely regarded as a rising star. He was",2016.,13 February 2018.,0.0,0.0,0.0,0.0,0.0,0.0
3,16,When did Simon English become the leader of the National Party?,October 2001.,72,17,17,17,"major party. English's election as leader was seen as a significant moment in the party's history, and he was widely regarded as a rising star. He was","campaign strategy by the Labour Party, and was seen as a way to boost their chances in the 2017 general election. English's tenure was only ten months",th Prime Minister of New Zealand from 2017 to 2018. He was the leader of the National Party from 2016 to 2017.,0.0,0.0,0.0,0.0,0.0,0.0
