q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,There is a state A where Storm of the Century was filmed based on the book by the author who wrote a short story featuring the author of This Is My God. What is the population of state A?,"1,335,907",228,13,13,13,Information not provided in the context.,Information not provided in the context.,"1,362,359",0.0,0.0,0.0,0.0,0.0,0.0
1,Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge | Cambridge,198,13,13,13,the University of Cambridge,the University of Cambridge,"Based on the provided context, there is no mention of a prize named after the author of Lectures on Jurisprudence.",1.0,1.0,0.0,1.0,1.0,0.1
2,What movie did the person who acted in the comedy film Crime School win his only Oscar for?,The African Queen,213,13,13,13,"Based on the provided context, there is no mention of anyone winning an Oscar.",Not mentioned in context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
3,What is the life expectancy of the type of retriever named after the body of water the Patuxent River turns into?,average lifespan at 9.4 years,202,13,13,13,Not mentioned in context,Not provided in the context.,Not provided in the context,0.0,0.0,0.0,0.0,0.0,0.0
4,Who gives out the award named after the person who argued that colonies were redundant?,University of Cambridge | Cambridge,224,13,13,13,The provided context does not mention any award named after Adam Smith.,Not mentioned in the text.,The provided context does not contain this information.,0.0,0.0,0.0,0.0,0.0,0.0
5,Who did the original voice of the character played by mila kunis in the cleveland show?,Lacey Chabert,223,13,13,13,Not mentioned in the context,Not mentioned in context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
6,What other recognition did the Oscar winner for Best Actor in 2006 receive?,nominated for an Academy Award for Best Supporting Actor | Academy Award for Best Supporting Actor,222,13,13,13,Not provided in the context,"Based on the provided context, there is no mention of what other recognition the Oscar winner for Best Actor in 2006 received.",*Not mentioned in context*,0.0,0.0,0.0,0.0,0.2308,0.0
7,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,13,13,13,Tony Longo,Tony Longo,"Anthony ""Tony"" Longo (Matthew Lawrence)",0.0,0.0,0.0,0.0,0.0,0.5714
8,What is the symbol of the Saints from the city that is the location of Blanton's manufacturer's headquarters called?,fleur - de-lis | Fleur-de-lis | fleur-de-lis,233,13,13,13,Third Street Saints,Fleur-de-lis,The fleur-de-lis,0.0,1.0,1.0,0.0,1.0,1.0
9,Who is the spouse of the person who voices Jarvis in the Avengers Age of Ultron?,Jennifer Connelly,208,13,13,13,*Not mentioned in context*,Not provided in the context.,Not mentioned in context,0.0,0.0,0.0,0.0,0.0,0.0
10,"Who sings Home Alone Tonight with the singer of ""I Don't Want This Night to End""?",Karen Fairchild,225,13,13,13,Karen Fairchild,Not mentioned in the context,Not mentioned,1.0,0.0,0.0,1.0,0.0,0.0
11,"In the King's Speech, who played the person who was the King of England in 1950?",Colin Firth,225,13,13,13,Colin Firth,Colin Firth,Colin Firth,1.0,1.0,1.0,1.0,1.0,1.0
12,In which year did Taifa of Francisco Giner de los Rios' birthplace cease to exist?,1065,131,13,13,13,1065,1915,1915,1.0,0.0,0.0,1.0,0.0,0.0
13,Who play's Marty's girlfriend in back to the future?,Claudia Wells,220,13,13,13,Claudia Wells,Claudia Wells,Claudia Wells,1.0,1.0,1.0,1.0,1.0,1.0
14,Who does the performer of Don't Be Cruel play in the wire?,a Western District uniformed officer,237,13,13,13,Not mentioned in the context,Not mentioned in the context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
15,Who is the child of the male star of the 1921 film Money?,Anthony Ainley,218,13,13,13,Richard Ainley,Not provided in the context,Not mentioned in the context,0.0,0.0,0.0,0.5,0.0,0.0
16,Who is Frances Freeling Broderip's sibling?,Tom Hood | Thomas Hood,210,13,13,13,Tom Hood,Tom Hood,Tom Hood,1.0,1.0,1.0,1.0,1.0,1.0
17,What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Het Scheur,242,13,13,13,Maasmond,Maasmond,Nieuwe Maas,0.0,0.0,0.0,0.0,0.0,0.0
18,Who is the federal leader of the party that Pierre-Hugues Boisvenu is a member of?,Andrew Scheer,231,13,13,13,Stephen Harper,Stephen Harper,"Based on the provided context, there is no mention of the federal leader of the party.",0.0,0.0,0.0,0.0,0.0,0.0
19,What undertaking included the person who discovered that the number of protons in each element's atoms is unique?,Manhattan Project,220,13,13,13,Moseley's method of examining atomic numbers,Moseley's work,Moseley's method,0.0,0.0,0.0,0.0,0.0,0.0
20,What is the name of the castle in the city where the performers of Spirit If.. became a band?,Casa Loma,205,13,13,13,"Based on the provided context, there is no mention of the name of a castle in the city where the band was formed.",Not mentioned in the context.,Château de Chalmazel,0.0,0.0,0.0,0.0,0.0,0.0
21,What is the average salary of a working person with the same nationality as the producer of The Wild Women of Chastity Gulch?,"$59,039",232,13,13,13,Not provided in the context.,Not provided in the context,Not provided in the context.,0.0,0.0,0.0,0.0,0.0,0.0
22,What is the source of the river of which Kraai River is a tributary?,Thaba Putsoa,150,13,13,13,the Drakensberg mountains in Lesotho,Drakensberg mountains,Mountains south of Lesotho (via Orange River),0.0,0.0,0.0,0.0,0.0,0.0
23,Between which years did war with the person for whom Pyrrhic victory is named occur?,323–272 BC,225,13,13,13,323–272 BC,280 BC and 279 BC,280 BC and 279 BC,1.0,0.0,0.0,1.0,0.2857,0.2857
24,Who was the spouse of the leading lady in Gone With the wind?,Laurence Olivier,223,13,13,13,Rhett,*Not mentioned in the context*,Ashley Wilkes and Rhett Butler,0.0,0.0,0.0,0.0,0.0,0.0
25,Who is the father of the Labo M performer?,Louis Chedid,226,13,13,13,Louis Chedid,Louis Chedid,Louis Chedid,1.0,1.0,1.0,1.0,1.0,1.0
