q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,What year was the author of Cock and Bull born? ,1961,148,13,13,13,1961,Not mentioned.,Not mentioned.,1.0,0.0,0.0,1.0,0.0,0.0
1,The Greatest Event in Television History aired on the channel that was founded by whom?,Betty Cohen,213,13,13,13,Ted Turner,Ted Turner,Not stated,0.0,0.0,0.0,0.0,0.0,0.0
2,When did the place in Canada where François Beaucourt (1740-1794) was mainly active acquired its present name?,1763,225,13,13,13,"1763, as Province of Quebec","After 1763, but exact date not specified.",Not stated in the context.,0.0,0.0,0.0,0.3333,0.25,0.0
3,When was Erik Watts' father born?,"May 5, 1939",176,13,13,13,"May 5, 1939","May 5, 1939",Not mentioned,1.0,1.0,0.0,1.0,1.0,0.0
4,Where did the punter for the Dallas Cowboys in the 1980s play college football?,Arizona State University,163,13,13,13,Not mentioned.,Not specified in the context.,Not mentioned,0.0,0.0,0.0,0.0,0.0,0.0
5,Who did the actor that plays Sean Tully defeat in a dancing contest?,Jodie Prenger,195,13,13,13,Not specified,Not specified,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
6,Santa Bring My Baby Back was released on which fourth Elvis studio album in 1957?,Elvis' Christmas Album,123,13,13,13,Elvis' Christmas Album,Elvis' Christmas Album,Elvis' Christmas Album,1.0,1.0,1.0,1.0,1.0,1.0
7,"When did the animated series Kent Scott wrote end after beginning in September of 2002 on ""Nick on CBS""?",November,200,13,13,13,"November 23, 2002","November 23, 2002","November 23, 2002",0.0,0.0,0.0,0.5,0.5,0.5
8,The winner of the the London Riders' Championship in 1953 scored how many points in the 1952 Individual Speedway World Championship?,14,75,13,13,13,14 points,Not mentioned.,Not mentioned,0.0,0.0,0.0,0.6667,0.0,0.0
9,What is the day of the horse race of which ESPN covers both the post position draw and the undercard races?,Saturday,139,13,13,13,Kentucky Derby and Preakness Stakes,Kentucky Derby,Kentucky Derby and Preakness Stakes,0.0,0.0,0.0,0.0,0.0,0.0
10,Are Portland International Airport and Gerald R. Ford International Airport both located in Oregon?,no,222,13,13,13,No,"No, only Portland International Airport.",No,1.0,0.0,1.0,1.0,0.3333,1.0
