q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,There is a state A where Storm of the Century was filmed based on the book by the author who wrote a short story featuring the author of This Is My God. What is the population of state A?,"1,335,907",228,13,13,13,Not provided in the context,"1,362,359","I am sorry, but the provided context does not contain this information.",0.0,0.0,0.0,0.0,0.0,0.0
1,Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge | Cambridge,198,13,13,13,University of Cambridge,University of Cambridge,"Based on the provided context, there is no mention of who gives out a prize named after the author of Lectures on Jurisprudence.",1.0,1.0,0.0,1.0,1.0,0.087
2,What movie did the person who acted in the comedy film Crime School win his only Oscar for?,The African Queen,213,13,13,13,"Based on the provided context, there is no mention of an Oscar win for anyone in *Crime School*.",Not mentioned in context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
3,What is the life expectancy of the type of retriever named after the body of water the Patuxent River turns into?,average lifespan at 9.4 years,202,13,13,13,Not mentioned in context,Not provided in the context.,Not provided in the context,0.0,0.0,0.0,0.0,0.0,0.0
4,Who gives out the award named after the person who argued that colonies were redundant?,University of Cambridge | Cambridge,224,13,13,13,Not mentioned in the context,Not mentioned in the context.,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
5,Who did the original voice of the character played by mila kunis in the cleveland show?,Lacey Chabert,223,13,13,13,Not mentioned in the context,Not mentioned in the context,Not mentioned in context,0.0,0.0,0.0,0.0,0.0,0.0
6,What other recognition did the Oscar winner for Best Actor in 2006 receive?,nominated for an Academy Award for Best Supporting Actor | Academy Award for Best Supporting Actor,222,13,13,13,Not mentioned in the context,Not provided in the context,"Based on the provided context, there is no mention of the Oscar winner for Best Actor in 2006.",0.0,0.0,0.0,0.0,0.0,0.2727
7,Who is the brother of the Melissa and Joey Theme Song singer?,Matthew Lawrence,226,13,13,13,Tony Longo,Tony Longo,"Anthony ""Tony"" Longo (Matthew Lawrence)",0.0,0.0,0.0,0.0,0.0,0.5714
8,What is the symbol of the Saints from the city that is the location of Blanton's manufacturer's headquarters called?,fleur - de-lis | Fleur-de-lis | fleur-de-lis,233,13,13,13,Third Street Saints,Fleur-de-lis,fleur-de-lis,0.0,1.0,1.0,0.0,1.0,1.0
9,Who is the spouse of the person who voices Jarvis in the Avengers Age of Ultron?,Jennifer Connelly,208,13,13,13,Context does not mention Jarvis.,Not provided in the context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
10,"Who sings Home Alone Tonight with the singer of ""I Don't Want This Night to End""?",Karen Fairchild,225,13,13,13,Karen Fairchild,Not provided in the context,Not mentioned in the context,1.0,0.0,0.0,1.0,0.0,0.0
11,"In the King's Speech, who played the person who was the King of England in 1950?",Colin Firth,225,13,13,13,Colin Firth,Colin Firth,Colin Firth,1.0,1.0,1.0,1.0,1.0,1.0
12,In which year did Taifa of Francisco Giner de los Rios' birthplace cease to exist?,1065,131,13,13,13,1065,1106,1915,1.0,0.0,0.0,1.0,0.0,0.0
13,Who play's Marty's girlfriend in back to the future?,Claudia Wells,220,13,13,13,Claudia Wells,Claudia Wells,Claudia Wells,1.0,1.0,1.0,1.0,1.0,1.0
14,Who does the performer of Don't Be Cruel play in the wire?,a Western District uniformed officer,237,13,13,13,Not mentioned in the context.,Not mentioned in the context,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
15,Who is the child of the male star of the 1921 film Money?,Anthony Ainley,218,13,13,13,Richard Ainley,Audrey,Not mentioned in the context,0.0,0.0,0.0,0.5,0.0,0.0
16,Who is Frances Freeling Broderip's sibling?,Tom Hood | Thomas Hood,210,13,13,13,Tom Hood,Tom Hood,Tom Hood,1.0,1.0,1.0,1.0,1.0,1.0
17,What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Het Scheur,242,13,13,13,Maasmond,"Maasmond (""Mouth of Meuse"")","Maasmond (""Mouth of Meuse"")",0.0,0.0,0.0,0.0,0.0,0.0
18,Who is the federal leader of the party that Pierre-Hugues Boisvenu is a member of?,Andrew Scheer,231,13,13,13,Stephen Harper,Stephen Harper,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
19,What undertaking included the person who discovered that the number of protons in each element's atoms is unique?,Manhattan Project,220,13,13,13,Moseley's examination of the atomic numbers of all known elements from hydrogen to uranium,Moseley's work,Moseley's method,0.0,0.0,0.0,0.0,0.0,0.0
20,What is the name of the castle in the city where the performers of Spirit If.. became a band?,Casa Loma,205,13,13,13,Toronto,Not mentioned in context.,Château de Chalmazel (or Château des Talaru),0.0,0.0,0.0,0.0,0.0,0.0
21,What is the average salary of a working person with the same nationality as the producer of The Wild Women of Chastity Gulch?,"$59,039",232,13,13,13,Not provided in the context,Not provided in the context,Not provided in the context,0.0,0.0,0.0,0.0,0.0,0.0
22,What is the source of the river of which Kraai River is a tributary?,Thaba Putsoa,150,13,13,13,The Drakensberg mountains in Lesotho,Drakensberg mountains,Drakensberg mountains,0.0,0.0,0.0,0.0,0.0,0.0
23,Between which years did war with the person for whom Pyrrhic victory is named occur?,323–272 BC,225,13,13,13,323–272 BC,280 BC and 279 BC,280 BC and 279 BC,1.0,0.0,0.0,1.0,0.2857,0.2857
24,Who was the spouse of the leading lady in Gone With the wind?,Laurence Olivier,223,13,13,13,Rhett,"Based on the provided context, there is no mention of the spouse of the leading lady (Vivien Leigh, who played Scarlett).",Ashley Wilkes (and Rhett Butler),0.0,0.0,0.0,0.0,0.0,0.0
25,Who is the father of the Labo M performer?,Louis Chedid,226,13,13,13,Louis Chedid,Louis Chedid,Louis Chedid,1.0,1.0,1.0,1.0,1.0,1.0
26,What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge | Ponte di Rialto,215,13,13,13,Royal Albert Bridge,"Based on the provided context, there is no mention of the birthplace of the composer of *Nulla in mundo pax sincera* (Antonio Vivaldi).",Not mentioned in the context.,0.0,0.0,0.0,0.4,0.0,0.0
27,When did the explorer reach the headquarters location of the group Con-Test's record label is part of?,"August 3, 1769",226,13,13,13,Not mentioned in the context.,Not mentioned in context.,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
28,What is the manufacturer of the Kentucky Tavern headquarters location saints symbol called?,fleur - de-lis | Fleur-de-lis | fleur-de-lis,232,13,13,13,"Barton Distillery, located in Bardstown, Kentucky","Barton Distillery (located in Bardstown, Kentucky)","Bardstown, Kentucky",0.0,0.0,0.0,0.0,0.0,0.0
29,Where is the country with ISO code ISO 3166-2:CV located?,central Atlantic Ocean | Atlantic Ocean | Atlantic,216,13,13,13,Central Atlantic Ocean,Cabo Verde,Macaronesia,1.0,0.0,0.0,1.0,0.0,0.0
30,What county shares a border with the county where She Did It's performer was born?,Cabarrus County,232,13,13,13,"Based on the provided context, there is no mention of the county where the performer was born or any sharing borders.",Not provided in the context,Not mentioned in the context.,0.0,0.0,0.0,0.1,0.0,0.0
31,Who is the father of the artist who painted Head I?,Nicholas Bacon | Sir Nicholas Bacon,215,13,13,13,Sir Nicholas Bacon,Not mentioned in the context,Not mentioned in the context.,1.0,0.0,0.0,1.0,0.0,0.0
32,What city was the author of What We Talk About When We Talk About love born in?,"Clatskanie | Clatskanie, Oregon",226,13,13,13,Not provided in the context.,Not mentioned in the context,Not provided in the context,0.0,0.0,0.0,0.0,0.0,0.0
33,What is the record label of the Metalworks Studio founder?,TML Entertainment,151,13,13,13,Not provided in the context,Not mentioned in the context.,Not provided in the context,0.0,0.0,0.0,0.0,0.0,0.0
34,Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Sumardi was born?,Francisco Guterres,208,13,13,13,Not mentioned in context,Xanana Gusmão,Xanana Gusmão,0.0,0.0,0.0,0.0,0.0,0.0
35,Who published Communications of the organization that Andries van Dam is a member of?,Association for Computing Machinery | ACM,209,13,13,13,*Not mentioned in context*,Not mentioned in context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
