q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,Where is the club's headquarters located?,"The club's headquarters are located on Jivani Street 2 of the Malatia-Sebastia District, Yerevan.",18,13,13,13,"Jivani Street 2, Malatia-Sebastia District, Yerevan.","Jivani Street 2, Malatia-Sebastia District, Yerevan.","Jivani Street 2, Malatia-Sebastia District, Yerevan.",0.0,0.0,0.0,0.6667,0.6667,0.6667
1,"What are the two ground states observed for indeno[1,2-a]fluorene on NaCl surfaces?",Open-shell π-diradical state and closed-shell state with a para-quinodimethane moiety.,99,13,13,13,Open-shell and closed-shell.,Open-shell π-diradical and closed-shell states.,Open-shell π-diradical and closed-shell states.,0.0,0.0,0.0,0.5,0.5714,0.5714
2,When did the Tevatron Collider Run II start and when is it expected to end?,The Tevatron Collider Run II started in March 2002 and is expected to continue until the end of this decade.,56,13,13,13,"March 2002, end of the decade.","March 2002, end of the decade.","March 2002, end of the decade.",0.0,0.0,0.0,0.4348,0.4348,0.4348
3,What was the reason given by Governor Rick Scott for not implementing a prescription drug monitoring database in Florida?,Privacy concerns and skepticism about its effectiveness.,106,13,13,13,Not stated.,There is no mention of Governor Rick Scott in the provided context.,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
4,What models were used for dialect identification?,"BERT, RoBERTa, ELECTRA, GPT-2, and XLM-RoBERTa.",55,13,13,13,"BERT, RoBERTa, XLM-RoBERTa, ELECTRA, GPT-2","BERT, RoBERTa, XLM-RoBERTa, ELECTRA, GPT-2","BERT, RoBERTa, XLM-RoBERTa, ELECTRA, GPT-2",0.0,0.0,0.0,0.9091,0.9091,0.9091
5,How can you level up in the early levels?,Keep deploying and harvesting your bases to earn experience points and level up quickly.,91,13,13,13,By deploying and harvesting bases.,By deploying and harvesting bases.,By deploying and harvesting bases.,0.0,0.0,0.0,0.4211,0.4211,0.4211
6,What is the security parameter for the AES-256 block cipher?,172.,225,13,13,13,256 bits.,256 bits.,256 bits.,0.0,0.0,0.0,0.0,0.0,0.0
7,What are the restrictions on the use of Broadjam's servers?,No excessive overloading and no use for illegal activity.,181,13,13,13,"No excessive overloading, no spam, no mail bombs, no server hacking.","No mail bombs, packet flooding, denial of service, or other abusive activities.","No excessive overloading, no software/scripts causing unreasonable load, no hacking/security breaches, no mail bombs, Internet packet flooding, etc.",0.0,0.0,0.0,0.4,0.0952,0.2963
8,What is the correct expression for the derivative of the function?,"It depends on the value of x, either 0 or (6x^2cos(x^2)+sin(x^2))/(3(x^2)^(1/3)).",44,13,13,13,"f'(x) = 
\begin{cases} 
\frac{6x^2\cos{\left(x^2\right)}+\sin{\left(x^2\right)}}{3\sqrt[3]{x^2}}, & \mbox{if } x \neq 0 \\",f'(x) = lim(h→0)[f(x+h) - f(x)]/h,\frac{6x^2\cos{x^2}+\sin{x^2}}{3\sqrt[3]{x^2}},0.0,0.0,0.0,0.2353,0.0,0.0
9,When did Margaret Way start self-publishing her books as e-books?,Margaret Way started self-publishing her books as e-books in 2013.,22,13,13,13,2013,2013,2013,0.0,0.0,0.0,0.1818,0.1818,0.1818
10,如何安装并启动Ganache?,使用安装包安装Ganache；打开程序，用户可以从显示的界面中查看账户、区块、交易和日志；点击“设置”，用户可以设置绑定的ip和端口、账户数量以及gas限制等，点击“restart”后设置生效。此时，Ganache已经在本机运行了一个以太坊私有网络，并绑定了8545端口。.,22,13,13,13,使用安装包安装即可，然后打开程序。,使用安装包安装即可，然后打开程序。,无相关信息。,0.0,0.0,0.0,0.0,0.0,0.0
11,"What is the electron correlation parameter, $\Gamma_e$?",It is the ratio of the average unscreened electron-electron potential energy to kinetic energy.,117,13,13,13,$\frac{e^2}{4\pi \epsilon_0 a_{ws}}\frac{1}{k_B T_e}$,$\frac{e^2}{4\pi \epsilon_0 a_{ws}}\frac{1}{k_B T_e}$,$\frac{e^2}{4\pi \epsilon_0 a_{ws}}\frac{1}{k_B T_e}$,0.0,0.0,0.0,0.0,0.0,0.0
12,What were the vaccines trialed against?,Other toxic products.,48,13,13,13,"Other toxic products, not genuine placebo (saline).","Other toxic products, not genuine placebo (saline).","Other toxic products, not genuine placebo (saline).",0.0,0.0,0.0,0.6,0.6,0.6
13,What is the problem encountered when building the fuselage sides?,"The longerons bow up from the building surface, forming a ""banana"" shape.",98,13,13,13,"Bowing, ""banana"" shape.",Bowing of the longerons.,Bowing problem,0.0,0.0,0.0,0.3333,0.1667,0.0
14,When will BC leave Boston?,August 25.,165,13,13,13,August 25,August 25,August 25,1.0,1.0,1.0,1.0,1.0,1.0
15,What is the maximum radius of the emitting region for the black body model?,4.5x10^8 cm.,137,13,13,13,4.5 × 10^8 cm,4.5 × 10^8 cm,4.5 × 10^8 cm,0.0,0.0,0.0,0.3333,0.3333,0.3333
16,What was the Buckeyes' record in their first game of the season?,They won their first game with a score of 15-3.,14,13,13,13,1-0,1-0,1-0,0.0,0.0,0.0,0.0,0.0,0.0
17,What is the name of the generative interactive model used in the method?,The generative interactive model used in the method is called the Coupled Generalized Dynamic Bayesian Network (C-GDBN).,126,13,13,13,Generalized Dynamic Bayesian Network (GDBN),Generalized Dynamic Bayesian Network (GDBN),Generalized Dynamic Bayesian Network (GDBN),0.0,0.0,0.0,0.4211,0.4211,0.4211
18,What algorithm is engaged in the PLMS-PPIC method?,The normalized least mean square (NLMS) algorithm.,42,13,13,13,Normalized Least Mean Square (NLMS) algorithm,NLMS algorithm,NLMS algorithm,1.0,0.0,0.0,1.0,0.5,0.5
19,What was the population of McPherson County according to the 2020 census?,"30,223.",33,13,13,13,"30,223","30,223",Not provided.,1.0,1.0,0.0,1.0,1.0,0.0
20,How does the performance of the PLM with decimation compare to other methods?,It outperforms mean-field methods and the PLM with $l_2$ regularization in terms of reconstruction error and true positive rate.,128,13,13,13,Better for lower M values.,"Better, especially for lower M values and sparse networks.","Better, especially for lower M.",0.0,0.0,0.0,0.0,0.0741,0.0
21,What are the datasets used in this community for research?,"URPC2017, URPC2018, URPC2019, URPC2020_ZJ and URPC2020_DL.",65,13,13,13,"URPC2017, URPC2018, URPC2019, URPC2020, UDD, DUO",URPC2017 and URPC2018,URPC2017 and URPC2018,0.0,0.0,0.0,0.5,0.6667,0.6667
22,What was the club known as before being officially renamed FC Urartu?,FC Banants.,19,13,13,13,FC Banants,FC Banants,FC Banants,1.0,1.0,1.0,1.0,1.0,1.0
23,What are the titles of one of Kam W. Leong's publications in Journal of Controlled Release?,Sustained viral gene delivery through core-shell fibers and Gene transfer to hemophilia A mice via oral delivery of FVIII-chitosan nanoparticles.,37,13,13,13,Gene transfer to hemophilia A mice via oral delivery of FVIII-chitosan nanoparticles,None listed.,None listed.,0.0,0.0,0.0,0.7333,0.0,0.0
24,When was the paper published?,The paper was published on 7 March 2023.,65,13,13,13,Not mentioned.,Not mentioned.,Not mentioned.,0.0,0.0,0.0,0.0,0.0,0.0
