event_id,session_id,step_id,document_id,current_chunk_id,target_chunk_id,query_type
0,train:2wiki:105,0,2wiki:105,444,446,multi-hop
1,train:2wiki:166,0,2wiki:166,751,753,multi-hop
2,train:2wiki:168,0,2wiki:168,764,767,semantic
3,train:2wiki:184,0,2wiki:184,852,854,multi-hop
4,train:2wiki:62,0,2wiki:62,234,236,multi-hop
5,train:2wiki:15,0,2wiki:15,47,50,multi-hop
6,train:2wiki:173,0,2wiki:173,782,783,structural
7,train:2wiki:174,0,2wiki:174,788,794,multi-hop
8,train:2wiki:166,1,2wiki:166,750,757,multi-hop
9,train:2wiki:104,0,2wiki:104,437,439,multi-hop
10,train:2wiki:176,0,2wiki:176,806,808,multi-hop
11,train:2wiki:62,1,2wiki:62,235,237,structural
12,train:2wiki:100,0,2wiki:100,417,420,semantic
13,train:2wiki:9,0,2wiki:9,21,23,multi-hop
14,train:2wiki:135,0,2wiki:135,579,581,multi-hop
15,train:2wiki:168,1,2wiki:168,760,761,structural
16,train:2wiki:166,2,2wiki:166,756,750,semantic
17,train:2wiki:178,0,2wiki:178,816,818,structural
18,train:2wiki:57,0,2wiki:57,200,197,semantic
19,train:2wiki:158,0,2wiki:158,695,697,multi-hop
20,train:2wiki:105,1,2wiki:105,445,447,multi-hop
21,train:2wiki:70,0,2wiki:70,262,263,structural
22,train:2wiki:9,1,2wiki:9,23,24,structural
23,train:2wiki:130,0,2wiki:130,566,569,structural
24,train:2wiki:83,0,2wiki:83,359,362,multi-hop
25,train:2wiki:75,0,2wiki:75,294,291,multi-hop
26,train:2wiki:126,0,2wiki:126,556,558,structural
27,train:2wiki:166,3,2wiki:166,750,752,structural
28,train:2wiki:82,0,2wiki:82,345,347,multi-hop
29,train:2wiki:22,0,2wiki:22,66,71,semantic
30,train:2wiki:100,1,2wiki:100,420,417,semantic
31,train:2wiki:145,0,2wiki:145,639,643,semantic
32,train:2wiki:173,1,2wiki:173,777,784,multi-hop
33,train:2wiki:83,1,2wiki:83,358,361,multi-hop
34,train:2wiki:178,1,2wiki:178,819,821,multi-hop
35,train:2wiki:154,0,2wiki:154,683,686,semantic
36,train:2wiki:10,0,2wiki:10,29,35,semantic
37,train:2wiki:15,1,2wiki:15,46,49,multi-hop
38,train:2wiki:79,0,2wiki:79,318,320,structural
39,train:2wiki:78,0,2wiki:78,312,309,semantic
40,train:2wiki:194,0,2wiki:194,911,908,semantic
41,train:2wiki:158,1,2wiki:158,697,692,semantic
42,train:2wiki:148,0,2wiki:148,651,653,multi-hop
43,train:2wiki:59,0,2wiki:59,216,218,multi-hop
44,train:2wiki:57,1,2wiki:57,196,204,semantic
45,train:2wiki:143,0,2wiki:143,621,622,structural
46,train:2wiki:91,0,2wiki:91,394,391,semantic
47,train:2wiki:116,0,2wiki:116,500,503,semantic
