status,question_index,question_id,question,gold_answers,k,policy,model,answer,em,f1,support_recall,selection_support_recall_before_budget,target_hit,selection_target_hit_before_budget,primary_node,feedback_target_node,selected_node_ids,selected_nodes,fully_delivered_node_ids,fully_delivered_nodes,candidate_universe,reference_context_tokens,provider_input_tokens,provider_output_tokens,api_latency_ms,api_attempts,finish_reason,response_cache_hit,prompt_hash,online_weights_before,online_weights_after,online_updated,online_update_reason
complete,0,e56e5c7e089c11ebbd78ac1f6bf848b6,"Who was born first out of Geoffrey Hope-Morley, 2Nd Baron Hollenden and Alfie Bass?","[""Geoffrey Hope-Morley, 2Nd Baron Hollenden""]",10,adaptive_offline_global,gemini-3.5-flash-lite,"Geoffrey Hope-Morley, 2nd Baron Hollenden",1.0,1.0,0.5,0.5,1.0,1.0,1,11,"[1, 11, 2, 3, 10, 9, 0, 4, 7, 6, 8]",11,"[1, 11, 2, 3, 10, 9, 0, 4, 7, 6]",10,12,583,620,13,30252.06239900035,1,STOP,True,fe293d58460e8b4f7dc2f632e7cddaf020b662a54c0f6957a6bfd0696157f9da,,,,
complete,0,e56e5c7e089c11ebbd78ac1f6bf848b6,"Who was born first out of Geoffrey Hope-Morley, 2Nd Baron Hollenden and Alfie Bass?","[""Geoffrey Hope-Morley, 2Nd Baron Hollenden""]",10,adaptive_online_warm,gemini-3.5-flash-lite,"Geoffrey Hope-Morley, 2nd Baron Hollenden",1.0,1.0,0.5,0.5,1.0,1.0,1,11,"[1, 11, 2, 3, 10, 9, 0, 4, 7, 6, 8]",11,"[1, 11, 2, 3, 10, 9, 0, 4, 7, 6]",10,12,583,620,13,30252.06239900035,1,STOP,False,fe293d58460e8b4f7dc2f632e7cddaf020b662a54c0f6957a6bfd0696157f9da,"[1.0, 0.0]","[1.0, 0.0]",0.0,prediction_hit
complete,0,e56e5c7e089c11ebbd78ac1f6bf848b6,"Who was born first out of Geoffrey Hope-Morley, 2Nd Baron Hollenden and Alfie Bass?","[""Geoffrey Hope-Morley, 2Nd Baron Hollenden""]",10,cosine,gemini-3.5-flash-lite,"Geoffrey Hope-Morley, 2nd Baron Hollenden",1.0,1.0,1.0,1.0,1.0,1.0,1,11,"[1, 11, 3, 2, 0, 9, 10, 4, 8, 5, 12]",11,"[1, 11, 3, 2, 0, 9, 10, 4, 8, 5, 12]",11,14,583,624,13,394.082986000285,1,STOP,False,50617edb33933a64f4205a891d1cf957c2350aa89588f09337f721714536018c,,,,
complete,0,e56e5c7e089c11ebbd78ac1f6bf848b6,"Who was born first out of Geoffrey Hope-Morley, 2Nd Baron Hollenden and Alfie Bass?","[""Geoffrey Hope-Morley, 2Nd Baron Hollenden""]",10,graph_fixed,gemini-3.5-flash-lite,"Geoffrey Hope-Morley, 2nd Baron Hollenden",1.0,1.0,0.5,0.5,1.0,1.0,1,11,"[1, 11, 2, 3, 10, 9, 0, 4, 7, 6, 8]",11,"[1, 11, 2, 3, 10, 9, 0, 4, 7, 6]",10,12,583,620,13,30252.06239900035,1,STOP,True,fe293d58460e8b4f7dc2f632e7cddaf020b662a54c0f6957a6bfd0696157f9da,,,,
complete,1,489e3b6b089911ebbd77ac1f6bf848b6,Are Stelvio Cipriani and Giuliano Cenci both from the same country?,"[""yes""]",10,adaptive_offline_global,gemini-3.5-flash-lite,Yes,1.0,1.0,1.0,1.0,1.0,1.0,14,13,"[14, 27, 13, 7, 26, 9, 3, 0, 2, 4, 18]",11,"[14, 27, 13, 7, 26, 9, 3, 0, 2]",9,21,400,421,1,388.70349300032103,1,STOP,True,38cc656198c16b2dbad06c556b1773c43b2e7c74ed8fccf595c9ac3d7c04a07d,,,,
complete,1,489e3b6b089911ebbd77ac1f6bf848b6,Are Stelvio Cipriani and Giuliano Cenci both from the same country?,"[""yes""]",10,adaptive_online_warm,gemini-3.5-flash-lite,Yes,1.0,1.0,1.0,1.0,1.0,1.0,14,13,"[14, 27, 13, 7, 26, 9, 3, 0, 2, 4, 18]",11,"[14, 27, 13, 7, 26, 9, 3, 0, 2]",9,21,400,421,1,388.70349300032103,1,STOP,False,38cc656198c16b2dbad06c556b1773c43b2e7c74ed8fccf595c9ac3d7c04a07d,"[1.0, 0.0]","[1.0, 0.0]",0.0,prediction_hit
complete,1,489e3b6b089911ebbd77ac1f6bf848b6,Are Stelvio Cipriani and Giuliano Cenci both from the same country?,"[""yes""]",10,cosine,gemini-3.5-flash-lite,Yes,1.0,1.0,1.0,1.0,1.0,1.0,14,13,"[14, 13, 1, 27, 26, 16, 7, 22, 9, 0, 17]",11,"[14, 13, 1, 27, 26, 16, 7, 22, 9, 0, 17]",11,27,400,432,1,500.3035910003746,1,STOP,False,a8147c79ce5f88c44b178da882f6c843e06fe19d92deb644244b4381b81958c2,,,,
complete,1,489e3b6b089911ebbd77ac1f6bf848b6,Are Stelvio Cipriani and Giuliano Cenci both from the same country?,"[""yes""]",10,graph_fixed,gemini-3.5-flash-lite,Yes,1.0,1.0,1.0,1.0,1.0,1.0,14,13,"[14, 27, 13, 7, 26, 9, 0, 3, 2, 4, 17]",11,"[14, 27, 13, 7, 26, 9, 0, 3, 2]",9,21,400,421,1,503.6143349998383,1,STOP,False,3b957cba901311461dced0f5f3d4c497ba667eab8a172daf7d39137090177b30,,,,
complete,2,576f3e2a08e511ebbda4ac1f6bf848b6,"Which film has the director died later, Red Planet Mars or Call Her Savage?","[""Red Planet Mars""]",10,adaptive_offline_global,gemini-3.5-flash-lite,"I am sorry, but the provided reference context does not contain information about the film ""Call Her Savage"" or the death dates of the directors, so the question cannot be answered using only the given text.",0.0,0.0,0.25,0.25,0.0,0.0,1,23,"[1, 0, 4, 2, 6, 3, 5, 7, 19, 18, 11]",11,"[1, 0, 4, 2, 6, 3, 5, 7, 19, 18, 11]",11,21,359,397,41,690.106662999824,1,STOP,False,387fb484ff27f94b80d5af5be885dc2a4c97d557026e50b706e274db27c9dcbf,,,,
complete,2,576f3e2a08e511ebbda4ac1f6bf848b6,"Which film has the director died later, Red Planet Mars or Call Her Savage?","[""Red Planet Mars""]",10,adaptive_online_warm,gemini-3.5-flash-lite,"I am sorry, but the provided reference context does not contain information about the film ""Call Her Savage"" or the death dates of the directors, so the question cannot be answered using only the given text.",0.0,0.0,0.25,0.25,0.0,0.0,1,23,"[1, 0, 4, 2, 6, 3, 5, 7, 19, 18, 11]",11,"[1, 0, 4, 2, 6, 3, 5, 7, 19, 18, 11]",11,21,359,397,41,690.106662999824,1,STOP,True,387fb484ff27f94b80d5af5be885dc2a4c97d557026e50b706e274db27c9dcbf,"[1.0, 0.0]","[1.0, 0.0]",0.0,coverage_miss
