model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,0,structural,60.04,54.0526,54.0823,0,0,0,103,338,359,39307247616,44343312384,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,1,multi-hop,47.1255,52.4082,51.3046,0,0,0,115,371,371,47357313024,47357313024,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,2,multi-hop,62.2796,0.0,75.0139,0,1,0,92,348,348,41667526656,41667526656,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,3,semantic,39.7551,0.0,47.3772,0,1,0,86,322,302,35673931776,31380013056,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,4,structural,54.7809,68.6715,68.7891,0,0,0,66,322,270,35673931776,25082265600,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,5,multi-hop,60.0741,0.0,72.9685,0,1,0,115,371,371,47357313024,47357313024,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,6,structural,67.1868,71.2704,72.9052,0,0,0,150,406,406,56714133504,56714133504,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,7,multi-hop,70.8615,71.1495,69.8159,0,0,0,145,401,401,55325835264,55325835264,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,8,multi-hop,57.5155,0.0,68.5222,0,1,0,109,365,365,45837926400,45837926400,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,9,structural,59.9065,72.1834,70.3325,0,0,0,100,356,356,43605295104,43605295104,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,10,multi-hop,68.2661,0.0,79.9189,0,1,0,128,384,314,50734301184,33923334144,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,11,semantic,61.2915,0.0,0.0,0,1,1,89,345,345,40952217600,40952217600,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,12,semantic,61.6578,0.0,73.6825,0,1,0,114,370,370,47102361600,47102361600,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,13,semantic,55.3236,0.0,76.2482,0,1,0,28,273,284,25642745856,27750825984,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,14,multi-hop,63.1912,0.0,76.1151,0,1,0,102,325,324,36341760000,36118462464,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,15,structural,54.5822,69.7035,0.0,0,0,1,44,227,300,17729273856,30965760000,6.274,0.145
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,MultiFieldQA-en,3,16,16,structural,66.8493,75.3749,72.5485,0,0,0,115,371,371,47357313024,47357313024,6.274,0.145
