q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,"Which film whose director is younger, Cuchillos De Fuego or A Woman Has Killed?",Cuchillos De Fuego,53,13,13,13,Not provided in context,Not mentioned in context,Not mentioned in context,0.0,0.0,0.0,0.0,0.0,0.0
1,"Who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Marie of Hohenstaufen,70,13,13,13,"Based on the provided context, there is no mention of the paternal grandmother of Marie of Brabant, Queen of France.",Marie of Hohenstaufen,Not mentioned in the text,0.0,1.0,0.0,0.1905,1.0,0.0
2,Who is the mother of the director of film Dalida (2017 Film)?,Marie Laforêt,68,13,13,13,Marie Laforêt,Not mentioned in the context.,Not mentioned in the context.,1.0,0.0,0.0,1.0,0.0,0.0
3,Where was the place of death of Shahnawaz Bhutto's mother?,Dubai,82,13,13,13,Iranian Hospital Dubai,Iranian Hospital Dubai,Iranian Hospital Dubai,0.0,0.0,0.0,0.5,0.5,0.5
4,Where was the husband of Maude Smith born?,"Toronto, Ontario",68,13,13,13,Not provided in the context,Not mentioned in context,Not specified in the context,0.0,0.0,0.0,0.0,0.0,0.0
5,Where was the place of death of the composer of song Gretchen Am Spinnrade?,Vienna,199,13,13,13,Not mentioned in the context,Not provided in the context,Not mentioned in context.,0.0,0.0,0.0,0.0,0.0,0.0
6,What is the place of birth of Carrie Watson Fleming's husband?,"Fairmont, West Virginia",66,13,13,13,Not mentioned in the context.,The context does not state the place of birth of Carrie Watson Fleming's husband.,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
7,"Who died first, Erich Haenisch or William Pooley?",William Pooley,47,13,13,13,Not mentioned in context,William Pooley,Not mentioned in the context,0.0,1.0,0.0,0.0,1.0,0.0
8,"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet",56,13,13,13,"Sir Ralph Gore, 2nd Baronet","Sir Paul Gore, 1st Baronet",Gerard Gore,0.0,1.0,0.0,0.6,1.0,0.2857
9,Who is the spouse of the director of film Rodney Steps In?,Ivy Duke,178,13,13,13,Not mentioned in the context.,Ivy Duke and Dorothy Batley,Ivy Duke and Dorothy Batley,0.0,0.0,0.0,0.0,0.5714,0.5714
10,"Who was born first, Bogdan Țăruș or Robert Wulnikowski?",Bogdan Țăruș,71,13,13,13,Bogdan Țăruș,Bogdan Țăruș,Bogdan Țăruș,1.0,1.0,1.0,1.0,1.0,1.0
11,"Which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",The Wind'S Fierce,162,13,13,13,The Wind's Fierce (Mario Camus),The Wind's Fierce,The Wind's Fierce,0.0,1.0,1.0,0.6667,1.0,1.0
12,"Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford",83,13,13,13,"Arthur Acheson, 1st Earl of Gosford","Archibald Acheson, 1st Earl of Gosford","Arthur Acheson, 1st Earl of Gosford",0.0,0.0,0.0,0.6667,0.8333,0.6667
13,Who is the mother of the director of film Atomised (Film)?,Gisela Elsner,66,13,13,13,Gisela Elsner,Gisela Elsner and Klaus Roehler,Gisela Elsner,1.0,0.0,1.0,1.0,0.5714,1.0
14,"Are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",yes,204,13,13,13,Not mentioned in context,The provided context does not contain information about the movie The Hatton Garden Job.,Not mentioned in context,0.0,0.0,0.0,0.0,0.0,0.0
15,"Which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,79,13,13,13,Information not provided in the context,The Piper's Price,Not mentioned in context,0.0,1.0,0.0,0.0,1.0,0.0
16,"Who is Renaud Ii, Count Of Soissons's uncle?","Guy II, Count of Soissons",23,13,13,13,Not mentioned in the context,"Based on the provided context, there is no mention of an uncle for Renaud II, Count of Soissons.","Based on the provided context, there is no mention of an uncle for Renaud II, Count of Soissons.",0.0,0.0,0.0,0.0,0.381,0.381
17,Does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,yes,97,13,13,13,The provided context does not state Marianne Wiggins's nationality.,Yes,Not mentioned in context.,0.0,1.0,0.0,0.0,1.0,0.0
18,"Who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,165,13,13,13,Charles Wheatstone,Jean-Claude Lauzon,Information not provided in the context.,1.0,0.0,0.0,1.0,0.0,0.0
19,What is the place of birth of the director of film Bhagirathi (Film)?,Tumkur,69,13,13,13,Baraguru village,Not mentioned in the context,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
20,What is the date of death of Duleep Singh's father?,27 June 1839,203,13,13,13,Not mentioned in the context.,Not mentioned in the context.,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
21,Where was the director of film Love At First Sight (1985 Film) born?,Milan,66,13,13,13,Milan,Milan,Not mentioned in the context.,1.0,1.0,0.0,1.0,1.0,0.0
22,Where was the place of death of the director of film Jail Yatra?,Mumbai,62,13,13,13,Not mentioned in the context,Not provided in the context,Not mentioned in context,0.0,0.0,0.0,0.0,0.0,0.0
23,"Which film has the director who was born earlier, Dhuen Ki Lakeer or Bomma Borusa?",Dhuen Ki Lakeer,94,13,13,13,Dhuen Ki Lakeer,Dhuen Ki Lakeer,Dhuen Ki Lakeer,1.0,1.0,1.0,1.0,1.0,1.0
24,What is the cause of death of Heonjong Of Goryeo's father?,illness,89,13,13,13,Not provided in context,Not mentioned in the context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
25,Where was the director of film Edges Of The Lord born?,Poznań,78,13,13,13,Poznań,Poznań,Poznań,1.0,1.0,1.0,1.0,1.0,1.0
