q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,What year was the author of Cock and Bull born? ,1961,148,13,13,13,26 September 1961,Not mentioned in the context,Not provided in the context.,0.0,0.0,0.0,0.5,0.0,0.0
1,The Greatest Event in Television History aired on the channel that was founded by whom?,Betty Cohen,213,13,13,13,Ted Turner,Ted Turner,*Not provided in the context*,0.0,0.0,0.0,0.0,0.0,0.0
2,When did the place in Canada where François Beaucourt (1740-1794) was mainly active acquired its present name?,1763,225,13,13,13,Following the Royal Proclamation of 1763,Proclamation of 1763,Not provided in the context.,0.0,0.0,0.0,0.3333,0.5,0.0
3,When was Erik Watts' father born?,"May 5, 1939",176,13,13,13,"May 5, 1939","May 5, 1939",Not mentioned in the context,1.0,1.0,0.0,1.0,1.0,0.0
4,Where did the punter for the Dallas Cowboys in the 1980s play college football?,Arizona State University,163,13,13,13,Not provided in the context,Not provided in the context,"Based on the provided context, there is no mention of a Cowboys punter from the 1980s (John Jett played in the 1990s).",0.0,0.0,0.0,0.0,0.0,0.0
5,Who did the actor that plays Sean Tully defeat in a dancing contest?,Jodie Prenger,195,13,13,13,Not mentioned in the context.,Not provided in the context,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
6,Santa Bring My Baby Back was released on which fourth Elvis studio album in 1957?,Elvis' Christmas Album,123,13,13,13,Elvis' Christmas Album,Elvis' Christmas Album,Elvis' Christmas Album,1.0,1.0,1.0,1.0,1.0,1.0
7,"When did the animated series Kent Scott wrote end after beginning in September of 2002 on ""Nick on CBS""?",November,200,13,13,13,"November 23, 2002","November 23, 2002","November 23, 2002",0.0,0.0,0.0,0.5,0.5,0.5
9,What is the day of the horse race of which ESPN covers both the post position draw and the undercard races?,Saturday,139,13,13,13,Kentucky Derby,Kentucky Derby,Kentucky Derby and Preakness Stakes,0.0,0.0,0.0,0.0,0.0,0.0
10,Are Portland International Airport and Gerald R. Ford International Airport both located in Oregon?,no,222,13,13,13,No,No,No,1.0,1.0,1.0,1.0,1.0,1.0
