q_idx,config_k,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
0,3,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,4,4,4,"No

Frank Lloyd was born in Britain but later became an American citizen, while Olivier Assayas is French. Therefore, they are not both American film directors.","No

Frank Lloyd was born in Britain but later became an American citizen, while Olivier Assayas is French. Therefore, they are not both American film directors.","No. To answer this question, we need to determine if both Frank Lloyd and Olivier Assayas are American film directors based on the information provided in the passage.",0.0,0.0,0.0,0.0769,0.0769,0.0741
0,4,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,5,5,5,"No

The passage mentions that Frank Lloyd was a British-born American film director, while Olivier Assayas is explicitly stated to be French. Therefore, they are not",No.,No.,0.0,1.0,1.0,0.08,1.0,1.0
0,5,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,6,6,6,"No

The passage mentions that Frank Lloyd was a British-born American film director, while Olivier Assayas is explicitly stated to be French. Therefore, they are not","No. Based on the information provided, only Frank Lloyd is described as a British-born American film director, while Olivier Assayas is not mentioned as such. Therefore",No.,0.0,0.0,1.0,0.08,0.08,1.0
0,6,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,7,7,7,"No. Based on the information provided, only Frank Lloyd is explicitly mentioned as a film director, while Olivier Assayas is not named anywhere in the passage. Therefore",No.,No.,0.0,1.0,1.0,0.08,1.0,1.0
0,8,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,9,9,9,No.,No.,No.,1.0,1.0,1.0,1.0,1.0,1.0
0,10,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,11,11,11,No.,No.,No.,1.0,1.0,1.0,1.0,1.0,1.0
0,12,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,13,13,13,"56, he made another film, The Great Gatsby (1954) based on F. Scott Fitzgerald's novel.

Question:
What awards has",1940 and he remarried in 1941. He retired from acting in 1942 and became involved in the production of,"), The Last Days of Pompeii (1917), and The King of Kings (1917).

Lloyd was one of the founding members",0.0,0.0,0.0,0.0,0.0,0.0
0,14,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,15,15,15,"56, he made another film, The Great Gatsby (1954) based on F. Scott Fitzgerald's novel.

Question:
What awards has",1940 and he remarried in 1941. He retired from acting in 1942 and became involved in the production of,"), The Last Days of Pompeii (1917), and The King of Kings (1917).

Lloyd was one of the founding members",0.0,0.0,0.0,0.0,0.0,0.0
0,16,Are both Frank Lloyd and Olivier Assayas American film directors?,no,154,17,17,17,"56, he made another film, The Great Gatsby (1954) based on F. Scott Fitzgerald's novel.

Question:
What awards has",1940 and he remarried in 1941. He retired from acting in 1942 and became involved in the production of,"), The Last Days of Pompeii (1917), and The King of Kings (1917).

Lloyd was one of the founding members",0.0,0.0,0.0,0.0,0.0,0.0
1,3,The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon,138,4,4,4,"Bill McCutcheon

The passage states that ""Its studios are located in Waco, and its transmitter is located in Waco near the VA Hospital."" This","Bill McCutcheon. To answer this question concisely, I'll use only the relevant information provided:

Bill McCutcheon. 

This directly answers the","Bill McCutcheon. To answer this question concisely, I'll use only the relevant information provided:

Bill McCutcheon. 

This directly answers the",0.0,0.0,0.0,0.1667,0.2,0.2
1,4,The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon,138,5,5,5,"Bill McCutcheon

This answer uses only the provided context and directly answers the question with a single word - Bill McCutcheon. The passage states that ""","Bill McCutcheon. To answer this question concisely, I'll use only the relevant information provided:

Bill McCutcheon. 

This directly answers the","Bill McCutcheon. To answer this question concisely, I'll use only the relevant information provided:

Bill McCutcheon. 

This directly answers the",0.0,0.0,0.0,0.1818,0.2,0.2
1,5,The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon,138,6,6,6,"Bill McCutcheon. To answer this question concisely, I'll use only the relevant information provided:

Bill McCutcheon. 

This directly answers the","Bill McCutcheon. To answer this question concisely:

Bill McCutcheon. 

This directly answers the question about the owner of KWPW with","Bill McCutcheon. To answer this question concisely, I'll use only the relevant information provided:

Bill McCutcheon. 

This directly answers the",0.0,0.0,0.0,0.2,0.2,0.2
1,6,The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon,138,7,7,7,Bill McCutcheon.,"Bill McCutcheon. To answer this question, I'll follow these steps:

1. Identify the key information needed: We need to find out which American character","Bill McCutcheon

Bill McCutcheon is the owner of KWPW, which shares his last name with an American character actor. The passage states that",1.0,0.0,0.0,1.0,0.16,0.1818
1,8,The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon,138,9,9,9,"Bill McCutcheon. To answer the question concisely, I'll use only the relevant information provided:

Bill McCutcheon.","Bill McCutcheon. To answer this question, I'll follow these steps:

1. Identify the key information needed: We need to find out what Bill McC","Bill McCutcheon. To answer this question concisely, I'll use only the relevant information provided:

Bill McCutcheon.",0.0,0.0,0.0,0.25,0.16,0.2353
